Concept,Prerequisite,label_prereq
Newton's law of universal gravitation,Distance,1
Electric potential energy,Energy,1
Magnetic field,Magnet,1
Inelastic collision,Collision,1
Equations of motion,Speed,1
Diffraction,Physics,1
Diffraction,Wave,1
Free fall,Displacement (vector),1
Equations of motion,Position (vector),1
Strength of materials,Physics,1
Le Sage's theory of gravitation,Speed,1
Inelastic collision,Physics,1
Electromagnetic radiation,Magnet,1
Scattering,Wave,1
Gravity of Earth,Physics,1
Doppler effect,Speed,1
Speed,Physics,1
Interference (wave propagation),Wave,1
Interference (wave propagation),Frequency,1
Magnetic field,Electric current,1
Electromagnetic radiation,Field (physics),1
Work (physics),Motion (physics),1
Mechanical energy,Motion (physics),1
Gravitational acceleration,Force,1
Free fall,Physics,1
Equations of motion,Displacement (vector),1
Kinetic energy,Energy,1
Motion graphs and derivatives,Physics,1
Doppler effect,Velocity,1
Dispersion (optics),Physics,1
Le Sage's theory of gravitation,Force,1
Electrostatics,Potential energy,1
Friction,Physics,1
Relative velocity,Motion (physics),1
Mechanical energy,Distance,1
Free fall,Force,1
Snell's law,Refraction,1
Gravitational field,Gravity,1
Strength of materials,Fracture,1
Absorption spectroscopy,Wave,1
Non-inertial reference frame,Motion (physics),1
Intensity (physics),Force,1
Electric potential energy,Euclidean vector,1
Hooke's law,Length,1
Electromagnetic spectrum,Magnetic field,1
Electric potential,Electric potential energy,1
Gravity of Earth,Mass,1
Electrostatics,Euclidean vector,1
Sound intensity,Sound,1
Acceleration,Distance,1
Crest (physics),Wave,1
Equations of motion,Motion (physics),1
Gravitational acceleration,Motion (physics),1
Electrostatics,Coulomb's law,1
Gravitational acceleration,Euclidean vector,1
Displacement (vector),Euclidean vector,1
Snell's law,Refractive index,1
Huygens–Fresnel principle,Amplitude,1
Electric potential,Displacement (vector),1
Emission spectrum,Magnet,1
Velocity,Physics,1
Shock wave,Speed,1
Standing wave,Frequency,1
Electric potential,Potential energy,1
Dispersion (optics),Wave,1
Acceleration,Velocity,1
Elasticity (physics),Deformation (engineering),1
Capacitance,Voltage,1
Electrostatics,Displacement (vector),1
Free fall,Distance,1
Dielectric,Electric field,1
Sonic boom,Physics,1
Doppler effect,Frequency,1
Electric field,Physics,1
Mirror image,Plane mirror,1
Snell's law,Wave,1
Ohm's law,Voltage,1
Displacement (vector),Physics,1
Refracting telescope,Wave,1
Position (vector),Euclidean vector,1
Potential energy,Motion (physics),1
Inelastic collision,Force,1
Electromagnetic spectrum,Electric field,1
Electrostatics,Physics,1
Free fall,Gravity,1
Total internal reflection,Physics,1
Snell's law,Motion (physics),1
Inertial frame of reference,Physics,1
Sonic boom,Wave,1
Doppler effect,Motion (physics),1
Rarefaction,Wave,1
Potential energy,Work (physics),1
Electric potential energy,Force,1
Gravity of Earth,Speed,1
Hardness,Strength of materials,1
Elastic collision,Collision,1
Refractive index,Physics,1
Projectile motion,Euclidean vector,1
Fatigue (material),Deformation (engineering),1
Specular reflection,Reflection (physics),1
Acceleration,Speed,1
Kinetic energy,Mass,1
Electric potential energy,Motion (physics),1
Electric potential,Force,1
Friction,Force,1
Doppler effect,Distance,1
Electric potential energy,Electric field,1
Elastic collision,Physics,1
Torque,Physics,1
Work (physics),Distance,1
Equations of motion,Euclidean vector,1
Inertial frame of reference,Motion (physics),1
Refraction,Physics,1
Electric potential energy,Field (physics),1
Mass,Physics,1
Newton's laws of motion,Physics,1
Projectile motion,Velocity,1
Lever,Force,1
Gravity of Earth,Force,1
Intensity (physics),Physics,1
Power (physics),Physics,1
Motion graphs and derivatives,Position (vector),1
Refractive index,Angle of incidence,1
Hardness,Deformation (engineering),1
Le Sage's theory of gravitation,Gravity,1
Electromotive force,Force,1
Doppler effect,Wavelength,1
Hardness,Fracture,1
Speed,Distance,1
Gravitational acceleration,Gravity,1
Projectile motion,Displacement (vector),1
Electromagnetic spectrum,Wave,1
Refractive index,Speed,1
Electromagnetic spectrum,Frequency,1
Electrostatics,Energy,1
Hooke's law,Deformation (engineering),1
Elastic collision,Motion (physics),1
Electromotive force,Magnet,1
Electrostatics,Work (physics),1
Elastic collision,Mass,1
Electric field,Field (physics),1
Interference (wave propagation),Amplitude,1
Mechanical energy,Work (physics),1
Series and parallel circuits,Electrical resistance and conductance,1
Fatigue (material),Force,1
Free fall,Mass,1
Capacitance,Electric charge,1
Crest (physics),Physics,1
Mechanical energy,Potential energy,1
Potential energy,Position (vector),1
Creep (deformation),Deformation (engineering),1
Electric potential,Coulomb's law,1
Transmission medium,Wave,1
Transmission medium,Physics,1
Mechanical energy,Position (vector),1
Inelastic collision,Energy,1
Gravitational constant,Distance,1
Specular reflection,Physics,1
Gravity of Earth,Distance,1
Projectile motion,Position (vector),1
Mechanical energy,Displacement (vector),1
Shock wave,Physics,1
Rarefaction,Physics,1
Electromagnetic spectrum,Electromagnetic radiation,1
Wave,Physics,1
Electrical conductor,Electric current,1
Hooke's law,Force,1
Electromotive force,Energy,1
Electric potential energy,Position (vector),1
Reflection (physics),Light,1
Electromagnetic spectrum,Physics,1
Free fall,Velocity,1
Series and parallel circuits,Voltage,1
Absorption spectroscopy,Energy,1
Electrostatics,Force,1
Velocity,Distance,1
Shock wave,Energy,1
Geometrical optics,Ray (optics),1
Creep (deformation),Physics,1
Relative velocity,Physics,1
Total internal reflection,Angle of incidence,1
Elastic collision,Velocity,1
Electric potential energy,Physics,1
Snell's law,Light,1
Magnetism,Physics,1
Work (physics),Euclidean vector,1
Motion graphs and derivatives,Motion (physics),1
Free fall,Euclidean vector,1
Free fall,Motion (physics),1
Transverse wave,Wave,1
Acceleration,Physics,1
Newton's law of universal gravitation,Force,1
Projectile motion,Force,1
Torque,Force,1
Pigment,Color,1
Refractive index,Refraction,1
Scattering,Physics,1
Electric potential energy,Distance,1
Gravitational acceleration,Physics,1
Gravity,Physics,1
Refraction,Wave,1
Projectile motion,Motion (physics),1
Dispersion (optics),Color,1
Electromagnetic spectrum,Magnet,1
Gravitational field,Physics,1
Mechanical energy,Kinetic energy,1
Plasticity (physics),Deformation (engineering),1
Projectile motion,Acceleration,1
Electromotive force,Physics,1
Optical microscope,Light,1
Standing wave,Wavelength,1
Series and parallel circuits,Electric current,1
Refractive index,Distance,1
Electromagnetic spectrum,Absorption spectroscopy,1
Deformation (engineering),Force,1
Potential energy,Distance,1
Strength of materials,Deformation (engineering),1
Dielectric,Coulomb's law,1
Absorption spectroscopy,Frequency,1
Electric potential energy,Displacement (vector),1
Magnetism,Force,1
Refractive index,Motion (physics),1
Series and parallel circuits,Ohm's law,1
Dielectric,Electric current,1
Relative velocity,Distance,1
Work (physics),Physics,1
Creep (deformation),Force,1
Displacement (vector),Distance,1
Electromagnetic radiation,Force,1
Free fall,Position (vector),1
Electrostatics,Electric field,1
Wavelength,Wave,1
Electrostatics,Motion (physics),1
Emission spectrum,Physics,1
Emission spectrum,Magnetic field,1
Electromagnetic radiation,Electron,1
Acceleration,Force,1
Displacement (vector),Motion (physics),1
Absorption spectroscopy,Wavelength,1
Electromagnetic radiation,Physics,1
Electric potential,Position (vector),1
Photoelectric effect,Light,1
Electric potential energy,Potential energy,1
Inelastic collision,Kinetic energy,1
Torque,Lever,1
Hardness,Plasticity (physics),1
Shock wave,Motion (physics),1
Electromagnetic spectrum,Electron,1
Standing wave,Physics,1
Sound intensity,Intensity (physics),1
Refracting telescope,Physics,1
Gravitational constant,Newton's law of universal gravitation,1
Dielectric,Physics,1
Strength of materials,Elasticity (physics),1
Electric potential,Work (physics),1
Elastic collision,Force,1
Ray (optics),Light,1
Electric potential,Field (physics),1
Geometrical optics,Light,1
Electric potential energy,Coulomb's law,1
Total internal reflection,Reflection (physics),1
Relative velocity,Speed,1
Reflection (physics),Wave,1
Fatigue (material),Elasticity (physics),1
Mirror image,Physics,1
Velocity,Motion (physics),1
Electric potential,Energy,1
Hooke's law,Physics,1
Work (physics),Displacement (vector),1
Snell's law,Physics,1
Free fall,Acceleration,1
Work (physics),Energy,1
Wavelength,Physics,1
Displacement (vector),Position (vector),1
Electromotive force,Electric current,1
Intensity (physics),Power (physics),1
Emission spectrum,Wave,1
Magnetic field,Physics,1
Electrostatics,Position (vector),1
Gravity of Earth,Acceleration,1
Emission spectrum,Energy,1
Virtual image,Light,1
Electrostatics,Field (physics),1
Gravitational acceleration,Velocity,1
Electromotive force,Magnetic field,1
Electromagnetic radiation,Energy,1
Normal force,Physics,1
Snell's law,Distance,1
Motion graphs and derivatives,Velocity,1
Non-inertial reference frame,Physics,1
Power (physics),Energy,1
Dielectric,Energy,1
Snell's law,Angle of incidence,1
Mechanical energy,Force,1
Magnetism,Magnet,1
Voltmeter,Voltage,1
Specular reflection,Ray (optics),1
Le Sage's theory of gravitation,Physics,1
Motion graphs and derivatives,Distance,1
Mirror image,Light,1
Sound intensity,Force,1
Motion (physics),Physics,1
Electromagnetic spectrum,Coulomb's law,1
Elastic collision,Distance,1
Gravitational acceleration,Speed,1
Doppler effect,Relative velocity,1
Snell's law,Wavelength,1
Elasticity (physics),Force,1
Electromagnetic spectrum,Electric current,1
Specular reflection,Light,1
Refracting telescope,Telescope,1
Electrostatics,Electric potential energy,1
Sound intensity,Physics,1
Equations of motion,Acceleration,1
Absorption spectroscopy,Physics,1
Standing wave,Amplitude,1
Electromagnetic radiation,Electric current,1
Lever,Physics,1
Refracting telescope,Refraction,1
Emission spectrum,Coulomb's law,1
Interference (wave propagation),Wavelength,1
Electric potential,Physics,1
Electromagnetic spectrum,Light,1
Stiffness,Force,1
Gravitational acceleration,Mass,1
Emission spectrum,Electric current,1
Energy,Planet,0
Physics,Electric potential energy,0
Motion graphs and derivatives,Acceleration,0
Speed,Length,0
Energy,Intensity (physics),0
Hooke's law,Work (physics),0
Electron,Mechanical energy,0
Refractive index,Electric field,0
Refractive index,Reflection (physics),0
Diffraction,Field (physics),0
Magnetic field,Velocity,0
Crest (physics),Doppler effect,0
Wave,Reflection (physics),0
Energy,Collision,0
Sound intensity,Wave,0
Refractive index,Scattering,0
Electric potential,Joule,0
Temperature,Physics,0
Velocity,Doppler effect,0
Electromagnetic radiation,Velocity,0
Magnetism,Electric current,0
Electric potential,Magnetic field,0
Physics,Snell's law,0
Energy,Joule,0
Diffraction,Scattering,0
Plane mirror,Length,0
Capacitance,Coulomb,0
Dielectric,Voltage,0
Magnetism,Field line,0
Distance,Optical microscope,0
Electrostatics,Electric current,0
Displacement (vector),Mass,0
Electron,Electroscope,0
Electroscope,Electrostatics,0
Intensity (physics),Light,0
Electron,Frequency,0
Angle of incidence,Ray (optics),0
Newton's laws of motion,Collision,0
Work (physics),Potential energy,0
Voltage,Electromotive force,0
Position (vector),Force,0
Acceleration,Work (physics),0
Reflection (physics),Total internal reflection,0
Absorption spectroscopy,Planet,0
Gravity,Doppler effect,0
Amplitude,Doppler effect,0
Wave,Tension (physics),0
Intensity (physics),Velocity,0
Gravity of Earth,Torque,0
Deformation (engineering),Elasticity (physics),0
Acceleration,Electric potential,0
Magnetic field,Mirror image,0
Potential energy,Power (physics),0
Energy,Power (physics),0
Le Sage's theory of gravitation,Collision,0
Specular reflection,Euclidean vector,0
Physics,Rarefaction,0
Plasticity (physics),Hardness,0
Physics,Gravitational acceleration,0
Speed,Magnetic field,0
Elasticity (physics),Wave,0
Phase velocity,Dispersion (optics),0
Physics,Wavelength,0
Fracture,Strength of materials,0
Temperature,Electrical resistance and conductance,0
Magnetic field,Absorption spectroscopy,0
Field (physics),Planet,0
Energy,Sound intensity,0
Euclidean vector,Electrostatics,0
Friction,Hooke's law,0
Le Sage's theory of gravitation,Elastic collision,0
Hertz,Velocity,0
Newton's law of universal gravitation,Gravitational constant,0
Laser,Doppler effect,0
Acceleration,Non-inertial reference frame,0
Newton's law of universal gravitation,Gravitational field,0
Potential energy,Torque,0
Photoelectric effect,Kinetic energy,0
Position (vector),Motion (physics),0
Newton's laws of motion,Gravity of Earth,0
Light,Wavelength,0
Force,Plasticity (physics),0
Newton's law of universal gravitation,Kilogram,0
Total internal reflection,Laser,0
Electrical conductor,Metre,0
Telescope,Reflection (physics),0
Wavelength,Interference (wave propagation),0
Magnet,Electric field,0
Work (physics),Joule,0
Photoelectric effect,Hertz,0
Inertial frame of reference,Collision,0
Light,Plane mirror,0
Speed,Snell's law,0
Magnification,Refracting telescope,0
Force,Hardness,0
Velocity,Elastic collision,0
Power (physics),Kilogram,0
Magnetic field,Energy,0
Joule,Mechanical energy,0
Mass,Electron,0
Force,Potential energy,0
Electric field,Mass,0
Refractive index,Temperature,0
Field line,Magnetic field,0
Electrostatics,Field line,0
Diffraction,Huygens–Fresnel principle,0
Force,Elasticity (physics),0
Energy,Potential energy,0
Electric field,Coulomb,0
Electric field,Electric current,0
Wave,Total internal reflection,0
Frequency,Energy,0
Physics,Transmission medium,0
Intensity (physics),Laser,0
Magnetism,Length,0
Light,Refracting telescope,0
Physics,Shock wave,0
Photoelectric effect,Electromagnetic radiation,0
Dielectric,Hertz,0
Tension (physics),Mass,0
Euclidean vector,Force,0
Magnetic field,Dielectric,0
Interference (wave propagation),Huygens–Fresnel principle,0
Amplitude,Refractive index,0
Specular reflection,Refractive index,0
Speed,Electron,0
Gravitational acceleration,Planet,0
Distance,Free fall,0
Velocity,Metre,0
Refractive index,Mass,0
Electrostatics,Electrical conductor,0
Frame of reference,Electromagnetic spectrum,0
Capacitor,Laser,0
Ohm,Coulomb,0
Magnetic field,Torque,0
Physics,Displacement (vector),0
Capacitor,Dielectric,0
Capacitance,Electric current,0
Hooke's law,Stiffness,0
Physics,Emission spectrum,0
Energy,Sonic boom,0
Magnetic field,Gravity of Earth,0
Electron,Electromagnetic radiation,0
Acceleration,Torque,0
Diffraction,Interference (wave propagation),0
Force,Stiffness,0
Distance,Gravity of Earth,0
Friction,Mass,0
Free fall,Gravitational field,0
Energy,Laser,0
Elasticity (physics),Hardness,0
Force,Elastic collision,0
Refraction,Absorption spectroscopy,0
Refraction,Electromagnetic spectrum,0
Newton's laws of motion,Contact force,0
Coulomb's law,Dielectric,0
Electron,Distance,0
Le Sage's theory of gravitation,Wavelength,0
Electric field,Force,0
Physics,Wave,0
Refractive index,Snell's law,0
Acceleration,Field (physics),0
Scattering,Velocity,0
Electron,Specular reflection,0
Standing wave,Voltage,0
Diffraction,Dispersion (optics),0
Refractive index,Telescope,0
Energy,Mechanical energy,0
Wave,Intensity (physics),0
Mass,Distance,0
Equations of motion,Field (physics),0
Kinetic energy,Mechanical energy,0
Velocity,Wave,0
Mirror image,Distance,0
Gravity,Gravitational acceleration,0
Pitch (music),Hertz,0
Speed,Shock wave,0
Speed,Electromagnetic spectrum,0
Electron,Electrostatics,0
Frequency,Doppler effect,0
Fracture,Elasticity (physics),0
Temperature,Kilogram,0
Physics,Doppler effect,0
Potential energy,Metre,0
Displacement (vector),Projectile motion,0
Electric potential,Capacitance,0
Motion (physics),Newton's laws of motion,0
Speed,Rarefaction,0
Pigment,Wavelength,0
Temperature,Wavelength,0
Wave,Electromagnetic spectrum,0
Inertial frame of reference,Velocity,0
Work (physics),Electrostatics,0
Motion (physics),Inertial frame of reference,0
Position (vector),Free fall,0
Deformation (engineering),Creep (deformation),0
Voltage,Electric current,0
Force,Creep (deformation),0
Dielectric,Velocity,0
Velocity,Speed,0
Energy,Temperature,0
Euclidean vector,Gravity of Earth,0
Electrical conductor,Electroscope,0
Electrical resistance and conductance,Ohm,0
Amplitude,Voltage,0
Wave,Mass,0
Energy,Equations of motion,0
Energy,Transverse wave,0
Magnet,Mass,0
Speed,Gravity of Earth,0
Energy,Electrostatics,0
Diffraction,Specular reflection,0
Deformation (engineering),Hardness,0
Intensity (physics),Speed,0
Electric potential energy,Coulomb,0
Specular reflection,Refraction,0
Refractive index,Frequency,0
Lever,Energy,0
Snell's law,Telescope,0
Velocity,Equations of motion,0
Electron,Electrical conductor,0
Interference (wave propagation),Ray (optics),0
Refraction,Length,0
Joule,Coulomb,0
Wave,Frequency,0
Telescope,Optical microscope,0
Stiffness,Hooke's law,0
Ohm,Electromotive force,0
Physics,Electromagnetic spectrum,0
Electron,Potential energy,0
Torque,Speed,0
Sonic boom,Hertz,0
Displacement (vector),Free fall,0
Electron,Le Sage's theory of gravitation,0
Force,Electrostatics,0
Amplitude,Distance,0
Frequency,Interference (wave propagation),0
Color,Dispersion (optics),0
Physics,Newton's law of universal gravitation,0
Diffraction,Wavelength,0
Motion (physics),Gravity of Earth,0
Field (physics),Dielectric,0
Magnetic field,Temperature,0
Tension (physics),Compression (physics),0
Electric potential,Gravity,0
Force,Length,0
Physics,Refractive index,0
Refractive index,Color,0
Sound,Sound intensity,0
Torque,Energy,0
Electrical resistance and conductance,Metre,0
Field (physics),Electrostatics,0
Gravity of Earth,Free fall,0
Position (vector),Electric potential,0
Diffraction,Transverse wave,0
Dielectric,Reflection (physics),0
Interference (wave propagation),Energy,0
Energy,Electromagnetic radiation,0
Magnetism,Field (physics),0
Friction,Deformation (engineering),0
Temperature,Velocity,0
Elasticity (physics),Strength of materials,0
Physics,Motion graphs and derivatives,0
Curved mirror,Geometrical optics,0
Speed,Inelastic collision,0
Wave,Dispersion (optics),0
Mass,Collision,0
Speed,Refraction,0
Gravity of Earth,Newton's law of universal gravitation,0
Sound intensity,Velocity,0
Electromagnetic radiation,Transverse wave,0
Magnification,Virtual image,0
Mass,Gravity of Earth,0
Transmission medium,Electromagnetic spectrum,0
Shock wave,Velocity,0
Electric field,Electric potential,0
Position (vector),Electric potential energy,0
Hertz,Kilogram,0
Electron,Field (physics),0
Joule,Velocity,0
Insulator (electricity),Dielectric,0
Mass,Velocity,0
Force,Direction (geometry),0
Physics,Energy,0
Acceleration,Energy,0
Joule,Torque,0
Velocity,Length,0
Velocity,Mechanical energy,0
Amplitude,Electromagnetic spectrum,0
Electron,Dielectric,0
Dispersion (optics),Refracting telescope,0
Voltage,Power (physics),0
Equations of motion,Length,0
Electric current,Electrical resistance and conductance,0
Amplitude,Electrical resistance and conductance,0
Distance,Equations of motion,0
Motion (physics),Power (physics),0
Wave,Length,0
Telescope,Electromagnetic radiation,0
Curved mirror,Reflection (physics),0
Friction,Normal force,0
Physics,Hardness,0
Distance,Doppler effect,0
Coulomb's law,Electric field,0
Electromagnetic radiation,Dispersion (optics),0
Displacement (vector),Potential energy,0
Specular reflection,Mirror image,0
Electron,Refractive index,0
Magnet,Electromagnetic spectrum,0
Plasticity (physics),Hooke's law,0
Snell's law,Total internal reflection,0
Physics,Diffraction,0
Deformation (engineering),Strength of materials,0
Virtual image,Plane mirror,0
Magnetic field,Coulomb,0
Electromagnetic spectrum,Metre,0
Motion (physics),Acceleration,0
Angle of incidence,Reflection (physics),0
Intensity (physics),Sound intensity,0
Electric field,Electric potential energy,0
Magnetic field,Hertz,0
Wave,Dielectric,0
Force,Kilogram,0
Shock wave,Force,0
Interference (wave propagation),Electromagnetic spectrum,0
Virtual image,Optical microscope,0
Hooke's law,Distance,0
Field (physics),Emission spectrum,0
Speed,Collision,0
Electron,Dispersion (optics),0
Acceleration,Electromagnetic radiation,0
Magnet,Length,0
Euclidean vector,Free fall,0
Intensity (physics),Interference (wave propagation),0
Newton's laws of motion,Newton's law of universal gravitation,0
Acceleration,Direction (geometry),0
Photoelectric effect,Voltage,0
Physics,Electric potential,0
Inelastic collision,Velocity,0
Coulomb's law,Electromagnetic spectrum,0
Physics,Projectile motion,0
Power (physics),Velocity,0
Gravity of Earth,Kilogram,0
Hooke's law,Wave,0
Energy,Projectile motion,0
Motion (physics),Magnetism,0
Torque,Distance,0
Displacement (vector),Velocity,0
Magnet,Field (physics),0
Voltage,Voltmeter,0
Diffraction,Optical microscope,0
Energy,Electric potential energy,0
Amplitude,Power (physics),0
Distance,Electric potential energy,0
Torque,Length,0
Electroscope,Capacitance,0
Photoelectric effect,Electric field,0
Energy level,Potential energy,0
Physics,Non-inertial reference frame,0
Light,Hertz,0
Elasticity (physics),Hooke's law,0
Reflection (physics),Wavelength,0
Joule,Power (physics),0
Magnetism,Electron,0
Gravitational acceleration,Inertial frame of reference,0
Friction,Velocity,0
Electron,Reflection (physics),0
Temperature,Magnetism,0
Electron,Kilogram,0
Free fall,Metre,0
Wave,Electron,0
Work (physics),Planet,0
Newton's law of universal gravitation,Velocity,0
Energy,Wavelength,0
Free fall,Planet,0
Position (vector),Potential energy,0
Speed,Work (physics),0
Force,Mechanical energy,0
Voltage,Electric field,0
Crest (physics),Frequency,0
Dielectric,Frequency,0
Electric potential,Electroscope,0
Shock wave,Magnetic field,0
Hooke's law,Dielectric,0
Physics,Motion (physics),0
Newton's law of universal gravitation,Free fall,0
Mass,Elastic collision,0
Light,Reflection (physics),0
Magnetism,Magnetic field,0
Energy level,Emission spectrum,0
Resonance (particle physics),Scattering,0
Energy,Tension (physics),0
Kinetic energy,Elastic collision,0
Wavelength,Scattering,0
Capacitance,Length,0
Strength of materials,Hardness,0
Wave,Force,0
Electron,Contact force,0
Friction,Electron,0
Magnetism,Le Sage's theory of gravitation,0
Ray (optics),Snell's law,0
Velocity,Gravity of Earth,0
Hooke's law,Torque,0
Field (physics),Electromotive force,0
Gravitational acceleration,Energy,0
Magnetism,Capacitance,0
Wavelength,Snell's law,0
Distance,Acceleration,0
Electric potential energy,Electric potential,0
Electron,Electromotive force,0
Hardness,Kilogram,0
Physics,Reflection (physics),0
Newton's law of universal gravitation,Electric field,0
Sound intensity,Distance,0
Friction,Hardness,0
Deformation (engineering),Plasticity (physics),0
Tangential and normal components,Euclidean vector,0
Electron,Field line,0
Light,Photoelectric effect,0
Energy,Elastic collision,0
Friction,Temperature,0
Torque,Gravity,0
Electric current,Electromagnetic radiation,0
Scalar (mathematics),Distance,0
Magnetic field,Wave,0
Wave,Motion (physics),0
Velocity,Work (physics),0
Friction,Torque,0
Amplitude,Standing wave,0
Coulomb's law,Coulomb,0
Dielectric,Electromagnetic spectrum,0
Wave,Magnet,0
Energy,Creep (deformation),0
Speed,Magnet,0
Frequency,Hooke's law,0
Physics,Electrical conductor,0
Wave,Photoelectric effect,0
Electroscope,Coulomb's law,0
Energy,Mass,0
Ray (optics),Diffraction,0
Frequency,Metre,0
Speed,Equations of motion,0
Motion (physics),Mechanical energy,0
Speed,Projectile motion,0
Motion (physics),Projectile motion,0
Energy,Dispersion (optics),0
Electromotive force,Electric potential,0
Sonic boom,Speed,0
Gravity,Gravitational constant,0
Distance,Gravitational constant,0
Wave,Absorption spectroscopy,0
Mass,Kilogram,0
Acceleration,Free fall,0
Electron,Emission spectrum,0
Distance,Length,0
Force,Lever,0
Displacement (vector),Acceleration,0
Scalar (mathematics),Euclidean vector,0
Energy,Magnet,0
Magnetic field,Electromagnetic spectrum,0
Amplitude,Frequency,0
Voltage,Ohm,0
Free fall,Normal force,0
Work (physics),Resultant force,0
Electroscope,Voltage,0
Physics,Dielectric,0
Wave,Refracting telescope,0
Displacement (vector),Equations of motion,0
Motion (physics),Distance,0
Field line,Coulomb's law,0
Photoelectric effect,Electroscope,0
Plasticity (physics),Elasticity (physics),0
Refraction,Ray (optics),0
Force,Motion (physics),0
Creep (deformation),Temperature,0
Speed,Sound intensity,0
Scattering,Collision,0
Equations of motion,Gravitational field,0
Work (physics),Kinetic energy,0
Physics,Le Sage's theory of gravitation,0
Refraction,Reflection (physics),0
Energy,Field (physics),0
Electron,Motion (physics),0
Speed,Field (physics),0
Speed,Refractive index,0
Ohm,Kilogram,0
Physics,Crest (physics),0
Dielectric,Temperature,0
Hooke's law,Temperature,0
Euclidean vector,Projectile motion,0
Acceleration,Relative velocity,0
Physics,Relative velocity,0
Electromagnetic radiation,Temperature,0
Position (vector),Physical quantity,0
Fracture,Magnet,0
Motion (physics),Speed,0
Gravity,Acceleration,0
Mass,Gravitational acceleration,0
Electric current,Magnetic field,0
Force,Magnetism,0
Force,Gravity,0
Wave,Emission spectrum,0
Ray (optics),Wavelength,0
Lever,Power (physics),0
Refraction,Refracting telescope,0
Euclidean vector,Work (physics),0
Force,Electric current,0
Refracting telescope,Virtual image,0
Distance,Displacement (vector),0
Joule,Kilogram,0
Wave,Transmission medium,0
Geometrical optics,Real image,0
Acceleration,Projectile motion,0
Speed,Dispersion (optics),0
Light,Dispersion (optics),0
Velocity,Planet,0
Work (physics),Power (physics),0
Mass,Projectile motion,0
Electrical conductor,Insulator (electricity),0
Physics,Refraction,0
Relative velocity,Elastic collision,0
Geometrical optics,Virtual image,0
Geometrical optics,Refractive index,0
Electromagnetic radiation,Le Sage's theory of gravitation,0
Newton's law of universal gravitation,Energy,0
Snell's law,Electromagnetic radiation,0
Acceleration,Tension (physics),0
Force,Strength of materials,0
Joule,Electrostatics,0
Capacitance,Planet,0
Magnetic field,Metre,0
Snell's law,Reflection (physics),0
Voltage,Hertz,0
Potential energy,Velocity,0
Light,Transverse wave,0
Electrical resistance and conductance,Length,0
Energy,Electron,0
Wave,Hertz,0
Projectile motion,Free fall,0
Photoelectric effect,Amplitude,0
Shock wave,Rarefaction,0
Elasticity (physics),Temperature,0
Capacitance,Potential energy,0
Collision,Velocity,0
Force,Power (physics),0
Speed,Position (vector),0
Hooke's law,Kilogram,0
Ray (optics),Specular reflection,0
Inertial frame of reference,Force,0
Friction,Work (physics),0
Diffraction,Refractive index,0
Electric potential energy,Voltage,0
Magnetic field,Electric field,0
Dielectric,Specular reflection,0
Physics,Sound intensity,0
Mass,Field (physics),0
Frequency,Wavelength,0
Position (vector),Mass,0
Torque,Power (physics),0
