Concept,Prerequisite,label_prereq
Rotation of axes,Mathematics,1
Cone,Curve,1
Exponential growth,Exponential function,1
Multiplicative inverse,Multiplication,1
Complex plane,Mathematics,1
Mathematical induction,Mathematical proof,1
Floor and ceiling functions,Mathematics,1
Line (geometry),Mathematics,1
Simultaneous equations,Number,1
Vertical line test,Geometry,1
Binomial theorem,Binomial,1
Determinant,Square matrix,1
Trigonometric tables,Trigonometry,1
Degree (angle),Mathematics,1
Product (mathematics),Arithmetic,1
Vertical line test,Graph of a function,1
Line–line intersection,Mathematics,1
Inverse trigonometric functions,Trigonometric functions,1
Binomial theorem,Mathematics,1
Trigonometry,Mathematics,1
Chord (geometry),Geometry,1
Chord (geometry),Point (geometry),1
Right angle,Geometry,1
Algebraic expression,Multiplication,1
Trigonometric tables,Geometry,1
Right triangle,Geometry,1
Binomial coefficient,Integer,1
Square matrix,Matrix (mathematics),1
Triangular matrix,Mathematics,1
Polygon,Mathematics,1
Trigonometric tables,Mathematics,1
Secant line,Curve,1
Line segment,Mathematics,1
Cartesian coordinate system,Number,1
Quadratic formula,Equation,1
Ellipse,Geometry,1
Image (mathematics),Function (mathematics),1
Euclidean vector,Vector (mathematics and physics),1
Image (mathematics),Mathematics,1
Basis (linear algebra),Number,1
Multiplicative inverse,Mathematics,1
Sine wave,Geometry,1
Degree of a polynomial,Multiplication,1
System of linear equations,Mathematics,1
Rational root theorem,Equation,1
Even and odd functions,Function (mathematics),1
Equation,Number,1
Circular motion,Curve,1
Parity (mathematics),Mathematics,1
Natural logarithm,Arithmetic,1
Zero (complex analysis),Complex number,1
Logarithm,Mathematics,1
Linear inequality,Linear function,1
Equation,Equality (mathematics),1
Graph of a function,Mathematics,1
Sum,Arithmetic,1
Rotation (mathematics),Geometry,1
Binomial,Integer,1
Multiplicative inverse,Number,1
Synthetic division,Degree of a polynomial,1
Pythagorean trigonometric identity,Trigonometry,1
Linear inequality,Calculus,1
Injective function,Function (mathematics),1
Analytic geometry,Equation,1
Synthetic division,Integer,1
Eccentricity (mathematics),Cone,1
Product (mathematics),Multiplication,1
Vector field,Vector (mathematics and physics),1
Elementary matrix,Main diagonal,1
Circular motion,Line (geometry),1
Base (exponentiation),Multiplication,1
Dot product,Mathematics,1
Radius,Line (geometry),1
Series (mathematics),Calculus,1
Floor and ceiling functions,Number,1
Mathematical induction,Mathematics,1
E (mathematical constant),Number,1
Graph of a function,Function (mathematics),1
Line segment,Point (geometry),1
Origin (mathematics),Geometry,1
Identity matrix,Main diagonal,1
Chord (geometry),Line (geometry),1
Linear inequality,Equation,1
Addition,Mathematics,1
Invertible matrix,Matrix (mathematics),1
Sine,Mathematics,1
Logarithm,Number,1
Exponential function,Arithmetic,1
Partial fraction decomposition,Integer,1
Polynomial,Number,1
Dot product,Number,1
Polygon,Geometry,1
Even and odd functions,Mathematics,1
System of linear equations,Line (geometry),1
Quadratic formula,Number,1
Circle,Curve,1
List of mathematical symbols,Mathematics,1
Fundamental theorem of algebra,Integer,1
Focus (geometry),Geometry,1
Vertical line test,Line (geometry),1
Law of sines,Point (geometry),1
Analytic geometry,Distance,1
Differential equation,Equality (mathematics),1
System of linear equations,Equality (mathematics),1
Injective function,Mathematics,1
Analytic geometry,Plane (geometry),1
Cone,Line (geometry),1
Conic section,Geometry,1
Binary logarithm,Exponentiation,1
Origin (mathematics),Point (geometry),1
Base (exponentiation),Arithmetic,1
Binomial,Arithmetic,1
Solution of triangles,Angle,1
Exponential function,Mathematics,1
Trigonometry,Geometry,1
Right triangle,Right angle,1
Sum,Number,1
Scalar (mathematics),Vector space,1
Extended real number line,Mathematics,1
Algebraic equation,Equality (mathematics),1
Synthetic division,Division (mathematics),1
Partial fraction decomposition,Multiplication,1
Empty sum,Summation,1
Inverse trigonometric functions,Function (mathematics),1
Algebraic expression,Number,1
Conic section,Line (geometry),1
Spherical law of cosines,Mathematics,1
Series (mathematics),Mathematics,1
Exponential growth,Mathematics,1
Rectangle,Mathematics,1
Inverse element,Sign (mathematics),1
Fundamental theorem of algebra,Multiplication,1
Rational root theorem,Arithmetic,1
Quadrant (plane geometry),Mathematics,1
Inverse trigonometric functions,Trigonometry,1
System of linear equations,Geometry,1
Exponential growth,Function (mathematics),1
Rational function,Function (mathematics),1
Triangle,Line (geometry),1
Product topology,Product (mathematics),1
Natural logarithm,Number,1
Matrix multiplication,Arithmetic,1
Exponential function,Number,1
Edge,Point (geometry),1
Minor (linear algebra),Determinant,1
Matrix multiplication,Multiplication,1
Division by zero,Division (mathematics),1
Cubic function,Mathematics,1
Vector space,Vector (mathematics and physics),1
Degree of a polynomial,Number,1
Eccentricity (mathematics),Circle,1
Cylinder (geometry),Mathematics,1
Inverse trigonometric functions,Geometry,1
Quadrant (plane geometry),Coordinate system,1
Linear inequality,Algebra,1
Binomial theorem,Number,1
Quadratic function,Mathematics,1
Solution of triangles,Trigonometry,1
Limit of a function,Limit (mathematics),1
Logarithm,Multiplication,1
Linear equation,Geometry,1
Quadratic formula,Equality (mathematics),1
Binary logarithm,Function (mathematics),1
Point (geometry),Geometry,1
Polynomial,Mathematics,1
Natural logarithm,Mathematics,1
Scalar multiplication,Number,1
Work (physics),Force,1
Polygon,Point (geometry),1
Analytic geometry,Mathematics,1
Real line,Rational number,1
Fundamental theorem of algebra,Arithmetic,1
Common logarithm,Mathematics,1
Fundamental theorem of algebra,Polynomial,1
Addition,Number,1
Addition,Arithmetic,1
Sum,Mathematics,1
Polynomial,Multiplication,1
Triangle,Mathematics,1
Analytic geometry,Geometry,1
Parametric equation,Equation,1
Eccentricity (mathematics),Mathematics,1
Orientation (geometry),Geometry,1
Secant line,Geometry,1
Descartes' rule of signs,Mathematics,1
Matrix multiplication,Mathematics,1
Limit of a function,Calculus,1
Natural logarithm,Logarithm,1
Multiplication,Number,1
Binomial,Number,1
Circular sector,Curve,1
Circle,Mathematics,1
Square root,Square (algebra),1
Homogeneous polynomial,Addition,1
Matrix ring,Arithmetic,1
Linear equation,Equality (mathematics),1
Square (algebra),Mathematics,1
Algebraic expression,Addition,1
Polynomial long division,Addition,1
Division by zero,Number,1
Right triangle,Triangle,1
Pythagorean trigonometric identity,Geometry,1
Perpendicular,Mathematics,1
Continuous function,Function (mathematics),1
Complex number,Number,1
Linear equation,Number,1
Natural logarithm,Multiplication,1
Quadratic equation,Equality (mathematics),1
Analytic geometry,Line (geometry),1
Algebraic expression,Square (algebra),1
Triangle,Polygon,1
Polynomial long division,Mathematics,1
Analytic geometry,Equality (mathematics),1
Base (exponentiation),Exponentiation,1
Complex number,Real number,1
Partial fraction decomposition,Polynomial,1
Simultaneous equations,Mathematics,1
Geometry,Mathematics,1
Binomial coefficient,Binomial,1
Degree of a polynomial,Polynomial,1
Range (mathematics),Function (mathematics),1
Ellipse,Line (geometry),1
Elementary matrix,Square matrix,1
Line–line intersection,Geometry,1
Monotonic function,Mathematics,1
Binomial coefficient,Addition,1
Periodic function,Mathematics,1
Simultaneous equations,Equation,1
Range (mathematics),Mathematics,1
Square root,Number,1
Right triangle,Line (geometry),1
Quadratic equation,Equation,1
Algebraic operation,Algebra,1
Equation solving,Mathematics,1
Polar coordinate system,Geometry,1
Algebraic operation,Mathematics,1
Factorization,Arithmetic,1
Mereology,Mathematics,1
Scalar multiplication,Vector space,1
Differential equation,Equation,1
Exponential function,Function (mathematics),1
Basis (linear algebra),Mathematics,1
Square root,Algebra,1
Equation solving,Number,1
Fundamental theorem of algebra,Addition,1
Matrix ring,Addition,1
Basis (linear algebra),Algebra,1
Synthetic division,Number,1
Inequality (mathematics),Number,1
Calculus,Mathematics,1
Ellipse,Curve,1
Partial fraction decomposition,Mathematics,1
Complex conjugate,Complex number,1
Edge,Geometry,1
Linear inequality,Mathematics,1
Quadratic formula,Integer,1
Absolute value,Number,1
Binomial,Polynomial,1
Complex conjugate,Number,1
Fundamental theorem of algebra,Mathematics,1
Exponential growth,Multiplication,1
Zero (complex analysis),Number,1
Set-builder notation,Set (mathematics),1
Polynomial long division,Number,1
Complex conjugate,Real number,1
Pythagorean theorem,Geometry,1
Plane (geometry),Mathematics,1
Limit of a function,Mathematics,1
Product topology,Number,1
Origin (mathematics),Mathematics,1
Circular sector,Geometry,1
Plane curve,Line (geometry),1
Quadratic formula,Quadratic equation,1
Triangle,Point (geometry),1
Algebraic equation,Number,1
Cartesian coordinate system,Mathematics,1
Coordinate system,Mathematics,1
Descartes' rule of signs,Arithmetic,1
Determinant,Matrix (mathematics),1
Base (exponentiation),Number,1
Piecewise,Function (mathematics),1
Factorization,Number,1
Law of sines,Sine,1
Trigonometric substitution,Trigonometric functions,1
Orientation (geometry),Plane (geometry),1
Trigonometric substitution,Mathematics,1
Circular motion,Circle,1
Piecewise,Mathematics,1
Inverse function,Mathematics,1
Simple harmonic motion,Force,1
Simultaneous equations,Equality (mathematics),1
Real number,Number,1
Focus (geometry),Mathematics,1
Cone,Circle,1
Binary logarithm,Mathematics,1
Exponentiation,Multiplication,1
Inverse function,Function (mathematics),1
Degree of a polynomial,Integer,1
Dot product,Multiplication,1
Real line,Mathematics,1
Cross product,Number,1
Unit circle,Geometry,1
Triangle,Angle,1
Rotation of axes,Number,1
Cartesian coordinate system,Geometry,1
Trigonometric substitution,Trigonometry,1
Circular sector,Circle,1
Solution of triangles,Geometry,1
Identity (mathematics),Equality (mathematics),1
Extended real number line,Number,1
Sine wave,Curve,1
Rational number,Number,1
Pythagorean trigonometric identity,Mathematics,1
Geometric series,Calculus,1
Scalar multiplication,Multiplication,1
Closed set,Set (mathematics),1
Common logarithm,Logarithm,1
Parametric equation,Equality (mathematics),1
Synthetic division,Multiplication,1
Matrix ring,Number,1
Parametric equation,Mathematics,1
Sum,Addition,1
Binomial coefficient,Arithmetic,1
Descartes' rule of signs,Integer,1
Real line,Line (geometry),1
Polynomial long division,Polynomial,1
Periodic function,Function (mathematics),1
Plane (geometry),Geometry,1
Fundamental theorem of algebra,Equality (mathematics),1
Solution of triangles,Line segment,1
Limit (mathematics),Mathematics,1
Product topology,Arithmetic,1
Binary logarithm,Logarithm,1
Expression (mathematics),Mathematics,1
Absolute value,Real number,1
Polar coordinate system,Mathematics,1
Complex plane,Geometry,1
Eccentricity (mathematics),Conic section,1
Synthetic division,Addition,1
Division (mathematics),Number,1
Fundamental theorem of algebra,Number,1
Common logarithm,Multiplication,1
Subtraction,Number,1
Product topology,Mathematics,1
Scalar multiplication,Arithmetic,1
Analytic geometry,Angle,1
Fundamental theorem of algebra,Algebra,1
Inequality (mathematics),Equation,1
Zero of a function,Domain of a function,1
Elementary matrix,Identity matrix,1
Perpendicular,Geometry,1
Quadratic formula,Addition,1
Point (geometry),Mathematics,1
Polynomial long division,Division (mathematics),1
Sine wave,Sine,1
Polar coordinate system,Number,1
Rational root theorem,Multiplication,1
Absolute value,Sign (mathematics),1
Vertical line test,Mathematics,1
Rational function,Mathematics,1
Polar coordinate system,Plane (geometry),1
Degree of a polynomial,Arithmetic,1
Right triangle,Mathematics,1
Norm (mathematics),Vector (mathematics and physics),1
Quadratic equation,Number,1
Dot product,Product (mathematics),1
Base (exponentiation),Mathematics,1
Cylinder (geometry),Geometry,1
Binomial theorem,Integer,1
Interval (mathematics),Mathematics,1
Parametric equation,Number,1
Real line,Real number,1
Binomial coefficient,Mathematics,1
Binary logarithm,Base (exponentiation),1
Rational root theorem,Number,1
Angle,Mathematics,1
Rational root theorem,Addition,1
Binomial,Multiplication,1
Real line,Number,1
Linear inequality,Function (mathematics),1
Sine wave,Trigonometry,1
Line (geometry),Geometry,1
Descartes' rule of signs,Addition,1
Trigonometric functions,Geometry,1
Subtraction,Arithmetic,1
Right angle,Mathematics,1
Cross product,Product (mathematics),1
Sine,Trigonometry,1
Cartesian coordinate system,Plane (geometry),1
Product (mathematics),Number,1
Solution of triangles,Mathematics,1
Partial fraction decomposition,Division (mathematics),1
Rational root theorem,Mathematics,1
Binomial theorem,Multiplication,1
Conic section,Curve,1
Cross product,Multiplication,1
Elementary matrix,Matrix (mathematics),1
Binomial,Addition,1
Triangle,Line segment,1
Partial fraction decomposition,Addition,1
Product topology,Multiplication,1
Trigonometric functions,Trigonometry,1
Equation,Mathematics,1
Right triangle,Line segment,1
Limit (mathematics),Calculus,1
Quadratic equation,Mathematics,1
Mathematical analysis,Mathematics,1
Identity matrix,Matrix (mathematics),1
Polar coordinate system,Coordinate system,1
Polynomial long division,Integer,1
Analytic geometry,Number,1
Summation,Mathematics,1
Binomial,Mathematics,1
Chord (geometry),Curve,1
Polynomial,Arithmetic,1
Matrix ring,Mathematics,1
Polynomial long division,Degree of a polynomial,1
Cubic function,Function (mathematics),1
Integer,Number,1
Law of sines,Geometry,1
Subtraction,Mathematics,1
Cartesian coordinate system,Distance,1
Inverse trigonometric functions,Inverse function,1
Logarithm,Exponentiation,1
Logarithm,Arithmetic,1
Degree of a polynomial,Addition,1
Zero (complex analysis),Real number,1
Angle,Geometry,1
Imaginary number,Complex number,1
Secant line,Line (geometry),1
Algebraic expression,Exponentiation,1
Inverse trigonometric functions,Mathematics,1
Binomial coefficient,Multiplication,1
Pythagorean theorem,Mathematics,1
Descartes' rule of signs,Multiplication,1
Vertical line test,Function (mathematics),1
Scalar multiplication,Scalar (mathematics),1
Square (algebra),Algebra,1
Rational root theorem,Polynomial,1
Binomial theorem,Arithmetic,1
Constant function,Mathematics,1
Degree of a polynomial,Mathematics,1
Complex plane,Plane (geometry),1
Trigonometric substitution,Geometry,1
Solution of triangles,Polygon,1
Square (algebra),Number,1
Unit circle,Circle,1
Differential equation,Mathematics,1
Right triangle,Angle,1
Perpendicular,Line (geometry),1
Conic section,Circle,1
Algebraic expression,Polynomial,1
Quadratic formula,Mathematics,1
Algebraic expression,Square root,1
Function (mathematics),Mathematics,1
Geometric series,Mathematics,1
Main diagonal,Matrix (mathematics),1
Solution of triangles,Point (geometry),1
Algebraic expression,Integer,1
Parallel (geometry),Geometry,1
Open set,Set (mathematics),1
Homogeneous polynomial,Integer,1
Logarithm,Natural logarithm,0
Square root,Exponentiation,0
Equation,Quadratic equation,0
Mathematics,Linear inequality,0
Associative property,Complex number,0
Quadratic formula,Real number,0
Integer,Partial fraction decomposition,0
Factorization,Partial fraction decomposition,0
Real number,Inequality (mathematics),0
Addition,Circle,0
Equation,Pythagorean theorem,0
Line (geometry),Secant line,0
Number,Empty sum,0
Function (mathematics),Exponential growth,0
Algebraic expression,Distributive property,0
Square (algebra),Algebraic expression,0
Rational number,Nth root,0
Prime number,Zero of a function,0
Constant function,Linear function,0
Periodic function,Simple harmonic motion,0
Arithmetic,Subtraction,0
Associative property,Multiplication,0
Function (mathematics),Periodic function,0
Addition,Rational number,0
Exponentiation,Quadratic equation,0
Secant line,Asymptote,0
Constant function,Even and odd functions,0
Set (mathematics),Number,0
Division (mathematics),Partial fraction decomposition,0
Geometry,Circular sector,0
Linear equation,Quadratic equation,0
Multiplication,Rational number,0
Line (geometry),Radius,0
Mathematics,Continuous function,0
Logarithm,Slope,0
Mathematics,Polygon,0
Floor and ceiling functions,Division (mathematics),0
Binomial,Minor (linear algebra),0
Mathematics,Sine wave,0
Sine,Law of sines,0
Polynomial,Circle,0
Addition,Commutative property,0
Division (mathematics),Multiplication,0
Addition,Binary logarithm,0
Arithmetic,Algebraic expression,0
Arithmetic,Homogeneous polynomial,0
Trigonometric functions,Inverse trigonometric functions,0
Arithmetic,Exponentiation,0
Coordinate system,Complex number,0
Unit circle,Nth root,0
Force,Mathematics,0
Polygon,Right triangle,0
Function (mathematics),Image (mathematics),0
Vector (mathematics and physics),Euclidean vector,0
Union (set theory),Empty set,0
Binomial,Binomial theorem,0
Vector space,Scalar (mathematics),0
Linear equation,Cartesian coordinate system,0
Mathematics,Common logarithm,0
Multiplication,Binomial,0
Equation,Degree of a polynomial,0
Geometry,System of linear equations,0
Associative property,Commutative property,0
Number,Degree of a polynomial,0
Unit circle,Integer,0
Geometry,Cylinder (geometry),0
Geometry,Polar coordinate system,0
Line (geometry),Real line,0
Negative number,Division (mathematics),0
Main diagonal,Elementary matrix,0
Number,Scalar multiplication,0
Geometry,Point (geometry),0
Integer,Multiplicative inverse,0
Geometry,Pythagorean theorem,0
Mathematics,Mereology,0
Parity (mathematics),Even and odd functions,0
Set (mathematics),Real number,0
Mathematics,Cross product,0
Exponentiation,Imaginary number,0
Line (geometry),Ellipse,0
Equation,Quadratic formula,0
Multiplication,Function (mathematics),0
Addition,Polynomial long division,0
Mathematics,Algebraic equation,0
Matrix (mathematics),Triangular matrix,0
Range (mathematics),Graph of a function,0
Real number,Nth root,0
Point (geometry),Radius,0
Polynomial,Function (mathematics),0
Coordinate system,Real number,0
Mathematics,Inverse trigonometric functions,0
Function composition,Even and odd functions,0
Mathematics,Empty sum,0
Associative property,Function (mathematics),0
Circle,Quadratic equation,0
Function (mathematics),Equation solving,0
Universal quantification,Existential quantification,0
Square root,Set (mathematics),0
Descartes' rule of signs,Rational root theorem,0
Arithmetic,Common logarithm,0
Perpendicular,Focus (geometry),0
Exponentiation,Algebraic expression,0
Integer,Binomial coefficient,0
Open set,Real number,0
Set (mathematics),Real line,0
Secant line,Slope,0
Trigonometric functions,Trigonometric substitution,0
Unit circle,Complex number,0
Law of sines,Perpendicular,0
Logarithm,E (mathematical constant),0
Mathematics,Simultaneous equations,0
Commutative property,Subtraction,0
Determinant,Minor (linear algebra),0
Circle,Real line,0
Number,Exponentiation,0
Secant line,Derivative,0
Amplitude,Sine wave,0
Interval (mathematics),Real number,0
Curve,Cone,0
Natural logarithm,Inequality (mathematics),0
Exponentiation,Fundamental theorem of algebra,0
Perpendicular,Parallel (geometry),0
Euclidean vector,Geometry,0
Equality (mathematics),System of linear equations,0
Square matrix,Elementary matrix,0
Number,Matrix multiplication,0
Square root,Algebraic expression,0
Force,Work (physics),0
Mathematics,Complex plane,0
Mathematics,Angle,0
Determinant,Main diagonal,0
Addition,Sum,0
Geometry,Trigonometry,0
Matrix (mathematics),Vector field,0
Equation,Parametric equation,0
Binomial,Binomial coefficient,0
Set (mathematics),Commutative property,0
Quadratic function,Graph of a function,0
Mathematics,Analytic geometry,0
Number,Algebra,0
Degree (angle),Minute and second of arc,0
Geometry,Trigonometric tables,0
Image (mathematics),Vector field,0
Angle,Right angle,0
Circle,Eccentricity (mathematics),0
Mathematics,Real line,0
Multiplication,Synthetic division,0
Function (mathematics),Domain of a function,0
Mathematics,Binomial coefficient,0
Number,Cartesian coordinate system,0
Mathematics,Rectangle,0
Polynomial,Equation,0
Addition,Integer,0
Addition,Binomial theorem,0
Mathematics,Product (mathematics),0
Polygon,Solution of triangles,0
Vector field,Real number,0
Addition,Rational root theorem,0
Complex number,Multiplicative inverse,0
Natural number,Set-builder notation,0
Natural logarithm,Common logarithm,0
Scientific notation,Base (exponentiation),0
Logarithm,Sine,0
Circle,Circular motion,0
Real number,Complex conjugate,0
Rational function,Real number,0
Trigonometry,Sine,0
Geometry,Radius,0
Mathematics,Algebraic expression,0
Square (algebra),Square root,0
Arithmetic,Formula,0
Equation,Linear inequality,0
Linear function,Analytic geometry,0
Mathematics,Synthetic division,0
Nth root,Square root,0
Multiplication,Multiplicative inverse,0
Monomial,Change of variables,0
Line segment,Right triangle,0
Multiplication,Binomial coefficient,0
Square matrix,Identity matrix,0
Sine,Cartesian coordinate system,0
Rational number,Sine,0
Identity matrix,Elementary matrix,0
Range (mathematics),Image (mathematics),0
Line (geometry),Equation,0
Mathematics,Base (exponentiation),0
Mathematics,Trigonometric substitution,0
Integer,Binomial theorem,0
Linear function,Equation,0
Equality (mathematics),Linear equation,0
Geometry,Pythagorean trigonometric identity,0
Number,Extended real number line,0
Number,Factorization,0
Angle,Analytic geometry,0
Calculus,Linear function,0
Maxima and minima,Real number,0
Mathematics,Circle,0
Addition,Binomial,0
E (mathematical constant),Base (exponentiation),0
Limit (mathematics),Work (physics),0
Algebraic expression,Rational number,0
Number,Distributive property,0
Addition,Homogeneous polynomial,0
Natural number,Real number,0
Function (mathematics),Even and odd functions,0
Line (geometry),Cone,0
Number,Addition,0
Geometry,Inverse trigonometric functions,0
Real number,Domain of a function,0
Matrix multiplication,Vector (mathematics and physics),0
Commutative property,Function (mathematics),0
Transformation (function),Geometry,0
Line segment,Cylinder (geometry),0
Rationalisation (mathematics),Nth root,0
Trigonometry,Law of sines,0
Number,Differential equation,0
Polynomial,Quadratic formula,0
Mathematics,Series (mathematics),0
Real number,Closed set,0
Secant line,Calculus,0
Scalar (mathematics),Real number,0
Mathematics,Formula,0
Number,Common logarithm,0
Geometry,Trigonometric substitution,0
Plane (geometry),Polar coordinate system,0
Division (mathematics),Synthetic division,0
Exponentiation,Set (mathematics),0
Integer,Degree of a polynomial,0
Product (mathematics),Dot product,0
Number,Polar coordinate system,0
Integer,Set (mathematics),0
Exponential function,Logarithm,0
Minute and second of arc,Angle,0
Even and odd functions,Graph of a function,0
Exponentiation,Exponential growth,0
Function (mathematics),Real number,0
E (mathematical constant),Natural logarithm,0
Function (mathematics),Monotonic function,0
Equation,Differential equation,0
Geometry,Rotation of axes,0
Vector (mathematics and physics),Calculus,0
Function (mathematics),Inverse function,0
Mathematics,Eccentricity (mathematics),0
Mathematics,Ellipse,0
Coordinate system,Rotation of axes,0
Polynomial,Homogeneous polynomial,0
Number,Coordinate system,0
Interval (mathematics),Empty set,0
Coordinate system,Equation,0
Number,System of linear equations,0
Mathematics,Unit circle,0
Geometry,Line segment,0
Exponentiation,Rational number,0
Semi-major axis,Work (physics),0
Arithmetic,Rational root theorem,0
Amplitude,Displacement (vector),0
Trigonometry,Inverse trigonometric functions,0
Exponentiation,Exponential function,0
Logarithm,Addition,0
Exponentiation,Degree of a polynomial,0
Line (geometry),Conic section,0
Mathematics,Differential equation,0
Complex number,Identity (mathematics),0
Equation solving,Domain of a function,0
Addition,Matrix ring,0
Logarithm,Identity (mathematics),0
Mathematics,Cubic function,0
Mathematics,Identity (mathematics),0
Geometry,Orientation (geometry),0
Equation,System of linear equations,0
Geometry,Unit circle,0
Quadratic equation,Nth root,0
Rotation of axes,Ellipse,0
Transformation (function),Coordinate system,0
Mathematics,Cartesian coordinate system,0
Range (mathematics),Limit (mathematics),0
Trigonometry,Pythagorean trigonometric identity,0
Integer,Algebraic expression,0
Mathematics,Rotation (mathematics),0
Polynomial,Rational root theorem,0
Floor and ceiling functions,Binomial coefficient,0
Synthetic division,Factorization,0
Matrix (mathematics),Vector (mathematics and physics),0
Matrix (mathematics),Square matrix,0
Multiplication,Empty set,0
Perpendicular,Analytic geometry,0
Zero of a function,Graph of a function,0
Circle,Conic section,0
Parity (mathematics),Square (algebra),0
Coordinate system,Vector field,0
Line segment,Transformation (function),0
Arithmetic,Product (mathematics),0
Distance,Cartesian coordinate system,0
Symmetry,Geometry,1
Binary logarithm,Common logarithm,0
Angle,Solution of triangles,0
Linear equation,Graph of a function,0
Geometry,Line (geometry),0
Equation,Algebraic equation,0
Addition,Equation,0
Infinity,Limit (mathematics),0
Number,Product (mathematics),0
Partial fraction decomposition,Polynomial long division,0
Linear equation,Change of variables,0
Geometry,Eccentricity (mathematics),0
Domain of a function,Cartesian coordinate system,0
Polynomial,Linear function,0
Mathematics,Arithmetic mean,0
Function (mathematics),Limit of a function,0
Equality (mathematics),Identity (mathematics),0
Cross product,Real number,0
Division (mathematics),Real number,0
Number,Linear inequality,0
Mathematics,Summation,0
Multiplication,Commutative property,0
Linear equation,Complex number,0
Transformation (function),Circle,0
Graph of a function,Vertical line test,0
Integer,Rational number,0
Associative property,Real number,0
Equation solving,Empty set,0
Point (geometry),Chord (geometry),0
Mathematics,Product topology,0
Division (mathematics),Inequality (mathematics),0
Matrix multiplication,Main diagonal,0
Trigonometry,Trigonometric tables,0
Number,Algebraic operation,0
Complex number,Division (mathematics),0
Arithmetic,Exponential function,0
Injective function,Inverse function,0
Number,Division by zero,0
Mathematics,Transformation (function),0
Associative property,Addition,0
Algebraic expression,Real number,0
Rational number,Equation solving,0
Plane (geometry),Plane curve,0
Geometric progression,Geometry,0
Scalar multiplication,Elementary matrix,0
Mathematics,Piecewise,0
Exponentiation,Cartesian coordinate system,0
Multiplication,Polynomial,0
Linear equation,Vertical line test,0
Mathematics,Multiplicative inverse,0
Function (mathematics),Inequality (mathematics),0
Complex number,Set (mathematics),0
Interval (mathematics),Closed set,0
Equation,Function (mathematics),0
Integer,Natural number,0
Matrix (mathematics),Matrix ring,0
Binomial,Calculus,0
Exponentiation,Identity (mathematics),0
Arithmetic,Matrix ring,0
Geometry,Origin (mathematics),0
Polynomial,Binomial,0
Degree of a polynomial,Polynomial long division,0
Mathematics,Exponential function,0
Number,Cross product,0
Complex number,Rational number,0
Associative property,Exponentiation,0
