Concept,Prerequisite,label_prereq
Triangle inequality,Point (geometry),1
Rhombus,Angle,1
Polygon,Line (geometry),1
Hexagon,Point (geometry),1
Special right triangles,Geometry,1
Internal and external angle,Angle,1
Cartesian coordinate system,Distance,1
Special right triangles,Point (geometry),1
Pentagon,Line segment,1
Parallelogram,Polygon,1
Diameter,Geometry,1
Altitude (triangle),Distance,1
Kite (geometry),Polygon,1
Midpoint,Line segment,1
Parallelogram,Quadrilateral,1
Tangent,Vertex (geometry),1
Congruence (geometry),Polygon,1
Secant line,Line (geometry),1
Reflection symmetry,Rotation (mathematics),1
Angle,Point (geometry),1
Grade (slope),Angle,1
Pyramid (geometry),Angle,1
Skew lines,Parallel (geometry),1
Line segment,Line (geometry),1
Tangent,Line segment,1
Rotational symmetry,Angle,1
Polyhedron,Vertex (geometry),1
Isosceles triangle,Vertex (geometry),1
Right triangle,Angle,1
Angle bisector theorem,Perpendicular,1
Congruence (geometry),Edge (geometry),1
Similarity (geometry),Geometry,1
Pentagon,Vertex (geometry),1
Parallel (geometry),Geometry,1
Rigid transformation,Symmetry,1
Angle,Isosceles triangle,0
Edge (geometry),Acute and obtuse triangles,0
Angle,Two-dimensional space,0
Point (geometry),Two-dimensional space,0
Quadrilateral,Parallel (geometry),0
Perpendicular,Cone,0
Line segment,Bisection,0
Angle,Collinearity,0
Midpoint,Arc (geometry),0
Edge (geometry),Isosceles triangle,0
Edge (geometry),Internal and external angle,0
Rectangle,Right triangle,0
Vertex (geometry),Pythagorean theorem,0
Rotational symmetry,Prism (geometry),0
Circle,Cross section (geometry),0
Pythagorean theorem,Pythagorean triple,0
Similarity (geometry),Sphere,0
Quadrilateral,Internal and external angle,0
Point (geometry),Quadrilateral,0
Radius,Sine,0
Quadrilateral,Collinearity,0
Two-dimensional space,Nonagon,0
Circle,Vertex (geometry),0
Vertex (geometry),Heptagon,0
Chord (geometry),Angle,0
Cylinder (geometry),Perpendicular,0
Polygon,Octagon,0
Perpendicular,Coordinate system,0
Midpoint,Altitude (triangle),0
Point (geometry),Star polygon,0
Line (geometry),Pyramid (geometry),0
Edge (geometry),Right triangle,0
Point (geometry),Hexagon,0
Dodecagon,Polyhedron,0
Circumference,Arc (geometry),0
Line (geometry),Convex polygon,0
Scale factor,Scaling (geometry),0
Line segment,Dodecagon,0
Rhombus,Perpendicular,0
Parallel (geometry),Angle,0
Perpendicular,Two-dimensional space,0
Midpoint,Plane (geometry),0
Point (geometry),Secant line,0
Line segment,Pentagon,0
Parallel (geometry),Skew lines,0
Quadrilateral,Triangle inequality,0
Line (geometry),Plane (geometry),0
Parallelogram,Convex polygon,0
Edge (geometry),Trigonometric functions,0
Geometry,Star polygon,0
Edge (geometry),Hendecagon,0
Polygon,Right triangle,0
Circle,Sine,0
Chord (geometry),Sine,0
Line (geometry),Reflection symmetry,0
Right triangle,Altitude (triangle),0
Heptagon,Radius,0
Collinearity,Cone,0
Circle,Two-dimensional space,0
Angle,Reflection (mathematics),0
Polygon,Quadrilateral,0
Translation (geometry),Distance,0
Line (geometry),Prism (geometry),0
Polygon,Rectangle,0
Geometry,Cylinder (geometry),0
Perpendicular,Trapezoid,0
Symmetry,Translation (geometry),0
Point (geometry),Angle bisector theorem,0
Triangle inequality,Arc length,0
Vertex (geometry),Polygon,0
Vertex (geometry),Altitude (triangle),0
Line (geometry),Secant line,0
Circumference,Polygon,0
Cylinder (geometry),Tangent,0
Geometry,Decagon,0
Polygon,Hendecagon,0
Angle,Distance,0
Bisection,Congruence (geometry),0
Geometry,Square,0
Rotation (mathematics),Distance,0
Vertex (geometry),Star polygon,0
Line (geometry),Angle,0
Rhombus,Square,0
Pythagorean theorem,Arc length,0
Geometry,Prism (geometry),0
Trigonometric functions,Chord (geometry),0
Acute and obtuse triangles,Right triangle,0
Cylinder (geometry),Radius,0
Geometry,Symmetry,0
Rotation (mathematics),Rigid transformation,0
Point (geometry),Radius,0
Cylinder (geometry),Polyhedron,0
Parallel (geometry),Tangent,0
Point (geometry),Isosceles triangle,0
Line (geometry),Trapezoid,0
Rhombus,Sine,0
Line (geometry),Pythagorean triple,0
Vertex (geometry),Pyramid (geometry),0
Geometry,Midpoint,0
Special right triangles,Circle,0
Right triangle,Isosceles triangle,0
Circle,Slope,0
Geometry,Similarity (geometry),0
Angle,Perpendicular,0
Reflection (mathematics),Circle,0
Perpendicular,Vertex (geometry),0
Square,Trapezoid,0
Perpendicular,Internal and external angle,0
Quadrilateral,Reflection symmetry,0
Similarity (geometry),Polygon,0
Rhombus,Triangle,0
Circle,Internal and external angle,0
Parallelogram,Rectangle,0
Face (geometry),Plane (geometry),0
Collinearity,Midpoint,0
Right triangle,Diameter,0
Arc (geometry),Diameter,0
Parallel (geometry),Circle,0
Perpendicular,Chord (geometry),0
Point (geometry),Transversal (geometry),0
Tangent,Isosceles triangle,0
Line (geometry),Rectangle,0
Geometry,Pentagon,0
Right angle,Rectangle,0
Rectangle,Translation (geometry),0
Similarity (geometry),Circle,0
Right angle,Triangle,0
Line (geometry),Angle bisector theorem,0
Exterior angle theorem,Midpoint,0
Square,Symmetry,0
Perpendicular,Angle bisector theorem,0
Prism (geometry),Distance,0
Midpoint,Angle,0
Line (geometry),Midpoint,0
Square,Octagon,0
Radius,Sphere,0
Line segment,Rhombus,0
Point (geometry),Tangent,0
Bisection,Diagonal,0
Symmetry,Rotational symmetry,0
Collinearity,Tangent,0
Angle,Trigonometric functions,0
Circle,Decagon,0
Vertex (geometry),Triangle inequality,0
Polygon,Nonagon,0
Geometry,Tangent,0
Triangle,Equilateral triangle,0
Angle,Square,0
Triangle,Triangle inequality,0
Vertex (geometry),Parallelogram,0
Line segment,Congruence (geometry),0
Triangle,Pythagorean theorem,0
Edge (geometry),Pythagorean triple,0
Line segment,Inverse trigonometric functions,0
Line segment,Quadrilateral,0
Pentagon,Diagonal,0
Bisection,Parallelogram,0
Two-dimensional space,Coordinate system,0
Geometry,Radius,0
Rotation (mathematics),Space (mathematics),0
Rotation (mathematics),Rotational symmetry,1
Angle,Acute and obtuse triangles,0
Transversal (geometry),Congruence (geometry),0
Pythagorean theorem,Isosceles triangle,0
Line segment,Right triangle,0
Dodecagon,Hexagon,0
Point (geometry),Rotational symmetry,0
Edge (geometry),Star polygon,0
Trigonometric functions,Right triangle,0
Square,Circle,0
Geometry,Hendecagon,0
Reflection symmetry,Rotational symmetry,0
Point (geometry),Vertex (geometry),0
Collinearity,Distance,0
Geometry,Bisection,0
Right triangle,Tangent,0
Angle,Circumference,0
Edge (geometry),Convex polygon,0
Polygon,Exterior angle theorem,0
Point (geometry),Nonagon,0
Secant line,Chord (geometry),0
Midpoint,Angle bisector theorem,0
Line (geometry),Radius,0
Acute and obtuse triangles,Tangent,0
Line segment,Octagon,0
Point (geometry),Hendecagon,0
Geometry,Inverse trigonometric functions,0
Point (geometry),Angle,0
Line segment,Cylinder (geometry),0
Geometry,Special right triangles,0
Triangle inequality,Parallelogram,0
Plane (geometry),Skew lines,0
Plane (geometry),Coordinate system,0
Equilateral triangle,Square,0
Similarity (geometry),Square,0
Angle,Hendecagon,0
Angle bisector theorem,Sine,0
Tessellation,Kite (geometry),0
Point (geometry),Rectangle,0
Concentric,Sphere,0
Square,Coordinate system,0
Parallelogram,Pythagorean theorem,0
Parallel (geometry),Distance,0
Edge (geometry),Inverse trigonometric functions,0
Rotational symmetry,Cone,0
Geometry,Parallelogram,0
Special right triangles,Pythagorean theorem,0
Collinearity,Chord (geometry),0
Distance,Arc length,0
Similarity (geometry),Midpoint,0
Circle,Cone,0
Geometry,Perpendicular,0
Polygon,Pyramid (geometry),0
Point (geometry),Reflection symmetry,0
Right triangle,Circle,0
Angle,Circle,0
Triangle,Sphere,0
Convex polygon,Kite (geometry),0
Edge (geometry),Special right triangles,0
Tangent,Pyramid (geometry),0
Two-dimensional space,Sphere,0
Rectangle,Square,0
Vertex (geometry),Inverse trigonometric functions,0
Perpendicular,Cartesian coordinate system,0
Circle,Diagonal,0
Edge (geometry),Sine,0
Line (geometry),Hexagon,0
Point (geometry),Coordinate system,0
Edge (geometry),Diagonal,0
Point (geometry),Convex polygon,0
Triangle inequality,Right triangle,0
Altitude (triangle),Tangent,0
Cylinder (geometry),Coordinate system,0
Diameter,Kite (geometry),0
Geometry,Rectangle,0
Rectangle,Sphere,0
Point (geometry),Polyhedron,0
Circle,Secant line,0
Diameter,Decagon,0
Right angle,Trapezoid,0
Line segment,Internal and external angle,0
Line (geometry),Special right triangles,0
Edge (geometry),Square,0
Congruence (geometry),Diameter,0
Pyramid (geometry),Scaling (geometry),0
Right triangle,Pythagorean triple,0
Special right triangles,Pythagorean triple,0
Tangent,Kite (geometry),0
Line (geometry),Quadrilateral,0
Edge (geometry),Decagon,0
Line segment,Parallel (geometry),0
Cone,Cartesian coordinate system,0
Arc length,Slope,0
Circle,Convex polygon,0
Point (geometry),Equilateral triangle,0
Distance,Cartesian coordinate system,0
Circle,Radius,0
Congruence (geometry),Isosceles triangle,0
Arc (geometry),Chord (geometry),0
Geometry,Sine,0
Square,Reflection symmetry,0
Geometry,Line (geometry),0
Inverse trigonometric functions,Pythagorean theorem,0
Circle,Polygon,0
Geometry,Tessellation,0
Vertex (geometry),Diagonal,0
Midpoint,Trapezoid,0
Polyhedron,Prism (geometry),0
Geometry,Point (geometry),0
Plane (geometry),Tessellation,0
Triangle,Tessellation,0
Similarity (geometry),Self-similarity,0
Geometry,Rigid transformation,0
Polyhedron,Coordinate system,0
Pentagon,Rotational symmetry,0
Point (geometry),Chord (geometry),0
Polygon,Kite (geometry),0
Trigonometric functions,Inverse trigonometric functions,0
Vertex (geometry),Hexagon,0
Line (geometry),Rhombus,0
Point (geometry),Sine,0
Reflection symmetry,Trapezoid,0
Line (geometry),Distance,0
Translation (geometry),Rigid transformation,0
Polygon,Space (mathematics),0
Symmetry,Rhombus,0
Point (geometry),Congruence (geometry),0
Line segment,Kite (geometry),0
Vertex (geometry),Equilateral triangle,0
Geometry,Arc (geometry),0
Vertex (geometry),Exterior angle theorem,0
Line segment,Altitude (triangle),0
Symmetry,Rigid transformation,0
Radius,Cartesian coordinate system,0
Collinearity,Rectangle,0
Polyhedron,Cross section (geometry),0
Perpendicular,Isosceles triangle,0
Vertex (geometry),Square,0
Edge (geometry),Hexagon,0
Angle,Equilateral triangle,0
Radius,Polygon,0
Geometry,Quadrilateral,0
Triangle,Acute and obtuse triangles,0
Diameter,Perpendicular,0
Symmetry,Trapezoid,0
Geometry,Reflection (mathematics),0
Isosceles triangle,Equilateral triangle,0
Point (geometry),Special right triangles,0
Triangle,Hexagon,0
Triangle,Plane (geometry),0
Line (geometry),Collinearity,0
Line (geometry),Skew lines,0
Pyramid (geometry),Sphere,0
Geometry,Kite (geometry),0
Point (geometry),Rigid transformation,0
Special right triangles,Isosceles triangle,0
Coordinate system,Right angle,0
Pythagorean theorem,Perpendicular,0
Bisection,Tangent,0
Polyhedron,Rhombus,0
Tessellation,Hexagon,0
Rhombus,Cone,0
Triangle,Convex polygon,0
Edge (geometry),Tangent,0
Rhombus,Circle,0
Symmetry,Quadrilateral,0
Collinearity,Sphere,0
Line segment,Prism (geometry),0
Quadrilateral,Tessellation,0
Angle,Diagonal,0
Point (geometry),Diagonal,0
Angle,Internal and external angle,0
Tangent,Distance,0
Point (geometry),Acute and obtuse triangles,0
Polygon,Concentric,0
Point (geometry),Octagon,0
Angle,Tangent,0
Point (geometry),Line (geometry),0
Pentagon,Decagon,0
Geometry,Trapezoid,0
Bisection,Chord (geometry),0
Symmetry,Prism (geometry),0
Geometry,Concentric,0
Coordinate system,Distance,0
Angle,Quadrilateral,0
Vertex (geometry),Decagon,0
Perpendicular,Tangent,0
Rectangle,Internal and external angle,0
Square,Perpendicular,0
Geometry,Right angle,0
Line (geometry),Sphere,0
Midpoint,Coordinate system,0
Radius,Distance,0
Line segment,Pyramid (geometry),0
Point (geometry),Circle,0
Vertex (geometry),Special right triangles,0
Pyramid (geometry),Triangle,0
Face (geometry),Square,0
Circle,Chord (geometry),0
Line segment,Polygon,0
Diameter,Bisection,0
Line segment,Rectangle,0
Line (geometry),Right angle,0
Rotational symmetry,Scale factor,0
Right angle,Right triangle,0
Congruence (geometry),Distance,0
Concentric,Equilateral triangle,0
Congruence (geometry),Reflection (mathematics),0
Geometry,Equilateral triangle,0
Circle,Acute and obtuse triangles,0
Geometry,Dodecagon,0
Triangle,Pythagorean triple,0
Trigonometric functions,Circle,0
Rhombus,Congruence (geometry),0
Square,Acute and obtuse triangles,0
Congruence (geometry),Tessellation,0
Angle,Pythagorean triple,0
Pythagorean theorem,Trigonometric functions,0
Circle,Sphere,0
Line segment,Polyhedron,0
Rotation (mathematics),Reflection (mathematics),0
Cylinder (geometry),Angle,0
Rectangle,Bisection,0
Rotation (mathematics),Cartesian coordinate system,0
Point (geometry),Bisection,0
Edge (geometry),Octagon,0
Tessellation,Polygon,0
Cross section (geometry),Cylinder (geometry),0
Prism (geometry),Congruence (geometry),0
Rotational symmetry,Perpendicular,0
Trigonometric functions,Distance,0
Line (geometry),Polyhedron,0
Line segment,Exterior angle theorem,0
Geometry,Rhombus,0
Line segment,Equilateral triangle,0
Collinearity,Triangle inequality,0
Triangle,Circle,0
Trigonometric functions,Sine,0
Heptagon,Two-dimensional space,0
Quadrilateral,Convex polygon,0
Rhombus,Tangent,0
Trigonometric functions,Similarity (geometry),0
Line (geometry),Right triangle,0
Geometry,Pythagorean theorem,0
Line segment,Hexagon,0
Edge (geometry),Rectangle,0
Radius,Diameter,0
Rotational symmetry,Rhombus,0
Similarity (geometry),Space (mathematics),0
Line (geometry),Equilateral triangle,0
Circle,Trapezoid,0
Grade (slope),Distance,0
Polygon,Square,0
Angle,Coordinate system,0
Parallel (geometry),Slope,0
Vertex (geometry),Angle bisector theorem,0
Line segment,Triangle,0
Similarity (geometry),Right triangle,0
Line (geometry),Circle,0
Perpendicular,Slope,0
Rhombus,Trapezoid,0
Line (geometry),Trigonometric functions,0
Diagonal,Kite (geometry),0
Quadrilateral,Rectangle,0
Parallelogram,Face (geometry),0
Quadrilateral,Midpoint,0
Rectangle,Triangle,0
Geometry,Edge (geometry),0
Similarity (geometry),Rotation (mathematics),0
Exterior angle theorem,Sphere,0
Rotational symmetry,Equilateral triangle,0
Line (geometry),Internal and external angle,0
Edge (geometry),Altitude (triangle),0
Geometry,Slope,0
Point (geometry),Kite (geometry),0
Circle,Triangle,0
Pythagorean theorem,Similarity (geometry),0
Midpoint,Right triangle,0
Plane (geometry),Cartesian coordinate system,0
Diameter,Sphere,0
Angle,Inverse trigonometric functions,0
Geometry,Triangle,0
Quadrilateral,Hexagon,0
Line segment,Heptagon,0
Angle,Star polygon,0
Vertex (geometry),Pythagorean triple,0
Arc (geometry),Plane (geometry),0
Angle,Reflection symmetry,0
Midpoint,Tangent,0
Vertex (geometry),Sine,0
Angle,Rotation (mathematics),0
Triangle inequality,Pythagorean theorem,0
Angle,Polygon,0
Line segment,Pythagorean theorem,0
Quadrilateral,Parallelogram,0
Line (geometry),Octagon,0
Polygon,Polyhedron,0
Rhombus,Face (geometry),0
Congruence (geometry),Cartesian coordinate system,0
Face (geometry),Rhombus,0
Pyramid (geometry),Plane (geometry),0
Line segment,Distance,0
Two-dimensional space,Hendecagon,0
Bisection,Trapezoid,0
Line segment,Radius,0
Vertex (geometry),Edge (geometry),0
Angle,Polyhedron,0
Trapezoid,Parallelogram,0
Secant line,Tangent,0
Right angle,Perpendicular,0
Arc (geometry),Perpendicular,0
Geometry,Congruence (geometry),0
Rhombus,Rectangle,0
Angle,Convex polygon,0
Rectangle,Symmetry,0
Pentagon,Convex polygon,0
Geometry,Circle,0
Similarity (geometry),Translation (geometry),0
Altitude (triangle),Congruence (geometry),0
Congruence (geometry),Coordinate system,0
Parallel (geometry),Rhombus,0
Right angle,Coordinate system,0
