index,Concept,Prerequisite,label_prereq
122,Fitness function,Genetic algorithm,1
123,Spectral clustering,Correlation and dependence,1
124,Positive and negative predictive values,False positives and false negatives,1
125,Type I and type II errors,Statistical population,1
126,Single-linkage clustering,Arithmetic mean,1
127,Joint probability distribution,Probability density function,1
128,Hierarchical clustering,Data analysis,1
129,AdaBoost,Probability density function,1
130,Type I and type II errors,Standard deviation,1
134,Fuzzy clustering,Correlation and dependence,1
137,Bayesian network,Joint probability distribution,1
138,DBSCAN,Correlation and dependence,1
139,Mixture model,Cluster analysis,1
141,Feedforward neural network,Probability density function,1
142,F1 score,Statistical classification,1
143,Decision tree learning,Joint probability distribution,1
144,Boosting (machine learning),Machine learning,1
146,AdaBoost,Machine learning,1
147,Support vector machine,Statistical classification,1
149,Cluster analysis,Data analysis,1
150,Single-linkage clustering,Correlation and dependence,1
151,Level of measurement,Standard deviation,1
152,Poisson regression,Arithmetic mean,1
153,Bayesian network,Bayes' theorem,1
154,Machine learning,Probability density function,1
155,OPTICS algorithm,Data analysis,1
156,Single-linkage clustering,Cluster analysis,1
157,Mixture model,Probability density function,1
159,Sample (statistics),Statistical population,1
160,Confidence interval,Standard deviation,1
161,Hierarchical clustering,Arithmetic mean,1
162,Decision tree,Statistical classification,1
166,Confidence interval,Statistical population,1
168,Data mining,Standard deviation,1
169,Mixture model,Conditional probability,1
170,Artificial neural network,Probability density function,1
171,Precision and recall,Confidence interval,1
172,Mixture model,Standard deviation,1
173,Pruning (decision trees),Conditional probability,1
174,Data mining,Statistical hypothesis testing,1
175,Stepwise regression,Regression analysis,1
179,K-means clustering,Standard deviation,1
180,Precision and recall,Statistical hypothesis testing,1
183,Expectation–maximization algorithm,Probability density function,1
184,Posterior probability,Probability density function,1
185,Gradient descent,Maxima and minima,1
186,Naive Bayes classifier,Conditional probability,1
187,Sampling (statistics),Statistical population,1
188,Data mining,Regression analysis,1
189,K-means clustering,Data analysis,1
190,Naive Bayes classifier,Standard deviation,1
191,Naive Bayes classifier,Likelihood function,1
192,Random forest,Bootstrap aggregating,1
194,Statistical significance,Statistical hypothesis testing,1
195,K-means clustering,Arithmetic mean,1
196,Type I and type II errors,Sample (statistics),1
197,Spectral clustering,Cluster analysis,1
199,Central tendency,Arithmetic mean,1
200,Level of measurement,Mode (statistics),1
201,Backpropagation,Probability density function,1
202,Boosting (machine learning),Ensemble learning,1
203,Anomaly detection,Arithmetic mean,1
204,Level of measurement,Arithmetic mean,1
205,F1 score,Information retrieval,1
206,K-medoids,Standard deviation,1
207,Precision and recall,Null hypothesis,1
208,Statistical hypothesis testing,Statistical population,1
209,Statistical hypothesis testing,Null hypothesis,1
211,Linear separability,Hyperplane,1
212,Support vector machine,Joint probability distribution,1
213,Cluster analysis,Arithmetic mean,1
214,Student's t-test,Standard deviation,1
215,Poisson regression,Likelihood function,1
216,Data mining,Statistical classification,1
217,Naive Bayes classifier,Bayes' theorem,1
218,Bayesian network,Conditional probability distribution,1
219,Receiver operating characteristic,Statistical classification,1
221,Student's t-test,Statistical population,1
222,Posterior probability,Conditional probability distribution,1
224,Data mining,Anomaly detection,1
225,Data mining,Statistical population,1
226,AdaBoost,Joint probability distribution,1
228,Multiclass classification,Statistical classification,1
229,Pruning (decision trees),Machine learning,1
230,F1 score,Sample (statistics),1
231,Data mining,Null hypothesis,1
232,Backpropagation,Statistical classification,1
233,Maximum likelihood,Probability density function,1
236,Anomaly detection,Data analysis,1
237,Fuzzy clustering,Data analysis,1
238,Naive Bayes classifier,Machine learning,1
239,Mixture model,Correlation and dependence,1
240,F1 score,Precision and recall,1
241,Central tendency,Median,1
242,F1 score,Statistical hypothesis testing,1
243,Pruning (decision trees),Decision tree,1
245,Naive Bayes classifier,Statistical classification,1
246,Stepwise regression,Arithmetic mean,1
249,OPTICS algorithm,Correlation and dependence,1
250,Expectation–maximization algorithm,Likelihood function,1
251,Support vector machine,Linear separability,1
252,Correlation and dependence,Arithmetic mean,1
253,Decision tree model,Decision tree,1
254,Expectation–maximization algorithm,Conditional probability distribution,1
255,Conditional independence,Conditional probability distribution,1
256,Conditional probability distribution,Conditional probability,1
257,Bayesian network,Machine learning,1
258,Data mining,Association rule learning,1
261,Artificial neural network,Machine learning,1
262,Apriori algorithm,Conditional probability,1
263,Multiclass classification,Probability density function,1
265,Anomaly detection,Outlier,1
266,Mixture model,Arithmetic mean,1
267,Central tendency,Mode (statistics),1
268,Conditional probability distribution,Probability density function,1
269,F1 score,Type I and type II errors,1
270,Single-linkage clustering,Data analysis,1
271,Linear regression,Arithmetic mean,1
272,Level of measurement,Central tendency,1
273,Statistical hypothesis testing,Standard deviation,1
274,Random forest,Machine learning,1
275,Random forest,Decision tree,1
276,Likelihood function,Conditional probability,1
277,Conditional independence,Probability density function,1
278,Precision and recall,Information retrieval,1
279,Random forest,Ensemble learning,1
280,Backpropagation,Artificial neural network,1
281,Bayesian network,Expectation–maximization algorithm,1
282,Correlation and dependence,Standard deviation,1
283,Bayesian network,Conditional probability,1
284,Fuzzy clustering,Arithmetic mean,1
285,Principal component analysis,Correlation and dependence,1
286,Statistical significance,Statistical population,1
287,Feedforward neural network,Artificial neural network,1
288,Biclustering,Data analysis,1
289,Linear regression,Regression analysis,1
290,Random forest,Bootstrapping (statistics),1
2,Confidence interval,Joint probability distribution,0
3,Prior probability,Conditional probability,0
7,Feedforward neural network,Gradient descent,0
9,Data mining,Hierarchical clustering,0
11,Cluster analysis,Outlier,0
16,Backpropagation,Feedforward neural network,0
17,Random forest,Boosting (machine learning),0
23,Conditional probability,Bayesian network,0
24,Statistical classification,Artificial neural network,0
25,Standard deviation,F1 score,0
28,Arithmetic mean,Cluster analysis,0
29,Correlation and dependence,Clustering high-dimensional data,0
30,Confusion matrix,Sensitivity and specificity,0
31,Sample (statistics),Precision and recall,0
37,K-medoids,K-means clustering,0
38,Statistical classification,Naive Bayes classifier,0
39,Correlation and dependence,Hierarchical clustering,0
40,False positives and false negatives,Positive and negative predictive values,0
41,Linear separability,Support vector machine,0
43,Interquartile range,Outlier,0
44,Standard deviation,Hierarchical clustering,0
48,Machine learning,Bayesian network,0
50,Conditional probability,Naive Bayes classifier,0
52,Mixture model,Bayesian network,0
53,Cluster analysis,Fuzzy clustering,0
55,Statistical hypothesis testing,Data mining,0
60,Regression analysis,Least squares,0
62,Support vector machine,Outlier,0
63,Conditional probability distribution,Naive Bayes classifier,0
64,Naive Bayes classifier,Data mining,0
70,Hierarchical clustering,Mixture model,0
74,Probability density function,Naive Bayes classifier,0
76,Web search engine,Data mining,0
77,Statistical hypothesis testing,Bayes' theorem,0
80,Data analysis,Mixture model,0
81,Prior probability,Bayesian network,0
83,Decision tree,Association rule learning,0
84,Cluster analysis,Biclustering,0
85,Random forest,Expert system,0
86,Regression analysis,Linear regression,0
89,Signal-to-noise ratio,Standard deviation,0
92,Arithmetic mean,Principal component analysis,0
94,Statistical hypothesis testing,Statistical significance,0
97,Naive Bayes classifier,Histogram,0
98,Decision tree,Pruning (decision trees),0
99,Ensemble learning,AdaBoost,0
100,Confidence interval,Student's t-test,0
102,Cluster analysis,Artificial neural network,0
104,Statistical significance,Accuracy and precision,0
105,False positives and false negatives,Sensitivity and specificity,0
107,Arithmetic mean,K-medoids,0
108,Anomaly detection,Association rule learning,0
112,Probability density function,Mixture model,0
113,Naive Bayes classifier,Support vector machine,0
114,Maximum likelihood,Naive Bayes classifier,0
115,Arithmetic mean,Clustering high-dimensional data,0
116,Principal component analysis,Artificial neural network,0
118,Decision tree learning,Decision tree model,0
119,Artificial neural network,Discretization,0
120,K-means clustering,Data mining,0
122,Type I and type II errors,Precision and recall,0
125,Statistical classification,Decision tree learning,0
128,Artificial neural network,Prior probability,0
129,Conditional probability,Apriori algorithm,0
130,Joint probability distribution,Conditional probability,0
131,Linear separability,Machine learning,0
132,Data analysis,Data mining,0
134,Anomaly detection,Statistical classification,0
135,Standard deviation,Type I and type II errors,0
137,Statistical classification,Decision tree,0
138,Hyperplane separation theorem,Support vector machine,0
139,Bayesian network,Naive Bayes classifier,0
141,Bayes' theorem,Data mining,0
143,Statistical population,Sample (statistics),0
146,Probability density function,Bayesian network,0
148,Cluster analysis,DBSCAN,0
150,Stepwise regression,Model selection,0
151,Principal component analysis,Cluster analysis,0
156,Likelihood function,Poisson regression,0
157,Correlation and dependence,Data mining,0
158,Likelihood function,Expectation–maximization algorithm,0
159,Posterior probability,Statistical classification,0
163,Sensitivity and specificity,Precision and recall,0
167,DBSCAN,Outlier,0
171,Machine learning,Naive Bayes classifier,0
172,Statistical population,Confidence interval,0
173,Statistical hypothesis testing,Model selection,0
175,Mixture model,Maximum likelihood,0
177,OPTICS algorithm,Single-linkage clustering,0
178,Maximum likelihood,Mixture model,0
180,Expert system,Knowledge base,0
183,Decision tree learning,Bootstrap aggregating,0
185,OPTICS algorithm,Anomaly detection,0
187,Machine learning,Backpropagation,0
189,Quartile,Interquartile range,0
190,Likelihood function,Standard deviation,0
191,Probability density function,Expectation–maximization algorithm,0
192,Cluster analysis,Data mining,0
195,Cluster analysis,Single-linkage clustering,0
196,Standard deviation,Level of measurement,0
199,Confidence interval,Data mining,0
201,Hierarchical clustering,DBSCAN,0
202,Maxima and minima,Gradient descent,0
205,Naive Bayes classifier,Discretization,0
211,Feedforward neural network,Statistical model,0
219,Dimensionality reduction,Spectral clustering,0
221,Probability density function,Random forest,0
227,Conditional probability,Random forest,0
230,Naive Bayes classifier,Information retrieval,0
232,Genetic algorithm,Fitness function,0
234,Mixture model,Mode (statistics),0
237,Statistical population,Statistical hypothesis testing,0
238,Artificial neural network,Expert system,0
239,Conditional probability distribution,Bayes' theorem,0
242,Standard deviation,Precision and recall,0
243,Boosting (machine learning),Decision tree,0
247,Support vector machine,Cross-validation (statistics),0
248,Hierarchical clustering,Biclustering,0
256,Bayes' theorem,Posterior probability,0
257,Data analysis,Biclustering,0
258,Joint probability distribution,Machine learning,0
259,Support vector machine,Hyperplane separation theorem,0
260,Arithmetic mean,Naive Bayes classifier,0
261,Cluster analysis,Statistical classification,0
262,Arithmetic mean,Biclustering,0
264,Likelihood function,Maximum likelihood,0
266,Positive and negative predictive values,Confusion matrix,0
268,Precision and recall,Receiver operating characteristic,0
271,Support vector machine,Regression analysis,0
272,K-means clustering,Fuzzy clustering,0
273,Hyperplane,Support vector machine,0
274,Maximum likelihood,Linear regression,0
276,Correlation and dependence,OPTICS algorithm,0
277,Data analysis,Anomaly detection,0
279,Biclustering,Mode (statistics),0
280,Precision and recall,Confusion matrix,0
281,Mixture model,Expectation–maximization algorithm,0
282,Conditional probability,Poisson regression,0
284,Statistical hypothesis testing,Posterior probability,0
288,Genetic algorithm,Mutation (genetic algorithm),0
289,Interquartile range,Histogram,0
292,Likelihood function,Posterior probability,0
294,Regression analysis,Confidence interval,0
297,Regression analysis,Outlier,0
298,Conditional probability distribution,Maximum likelihood,0
300,Mixture model,Posterior probability,0
303,Standard deviation,Cluster analysis,0
304,Statistical population,Median,0
306,Artificial neural network,Confidence interval,0
307,Cluster analysis,K-medoids,0
310,Standard deviation,Fuzzy clustering,0
313,Natural selection,Fitness function,0
315,Association rule learning,Data analysis,0
316,Confidence interval,Median,0
320,Artificial neural network,Data mining,0
321,Statistical population,Data mining,0
325,Regression analysis,Machine learning,0
328,Poisson regression,Gradient descent,0
329,Sample (statistics),Data mining,0
331,Conditional probability distribution,Posterior probability,0
332,Joint probability distribution,Random forest,0
333,Type I and type II errors,F1 score,0
334,Information retrieval,F1 score,0
338,Statistical classification,Statistical model,0
339,Mode (statistics),Central tendency,0
340,F-test,Stepwise regression,0
341,Data analysis,Cluster analysis,0
342,Sensitivity and specificity,Statistical significance,0
343,Standard deviation,OPTICS algorithm,0
344,Decision tree learning,Data mining,0
346,Statistical hypothesis testing,Prior probability,0
347,Standard deviation,Principal component analysis,0
350,Decision tree learning,Discretization,0
354,Principal component analysis,Linear regression,0
355,DBSCAN,Data type,0
356,Bayesian network,Standard deviation,0
357,Sample (statistics),Type I and type II errors,0
359,Correlation and dependence,Fuzzy clustering,0
361,Interquartile range,Standard deviation,0
362,Support vector machine,Decision tree,0
365,Central tendency,Descriptive statistics,0
368,Correlation and dependence,Single-linkage clustering,0
369,Statistical population,Precision and recall,0
370,Probability density function,Decision tree learning,0
371,Principal component analysis,Data matrix (multivariate statistics),0
374,Data analysis,Hierarchical clustering,0
375,DBSCAN,Minkowski distance,0
377,Correlation and dependence,Mixture model,0
380,Central tendency,Quartile,0
385,Stepwise regression,Confidence interval,0
389,Poisson regression,Linear regression,0
392,Principal component analysis,Regression analysis,0
394,Probability density function,Support vector machine,0
396,Conditional probability,Pruning (decision trees),0
397,Probability density function,Posterior probability,0
398,Conditional probability,Maximum likelihood,0
400,Decision tree,Decision tree learning,0
402,K-medoids,Outlier,0
411,Standard deviation,Statistical significance,0
413,Pruning (decision trees),Artificial neural network,0
416,Statistical hypothesis testing,Statistical model,0
417,Stepwise regression,F-test,0
422,Precision and recall,Web search engine,0
423,Expectation–maximization algorithm,K-means clustering,0
424,Interquartile range,Probability density function,0
425,Data analysis,Fuzzy clustering,0
426,Conditional probability,Decision tree model,0
427,Statistical classification,F1 score,0
428,Principal component analysis,Data mining,0
429,Statistical hypothesis testing,Sensitivity and specificity,0
430,Arithmetic mean,K-means clustering,0
432,Conditional probability,Bayes' theorem,0
434,Likelihood function,Naive Bayes classifier,0
435,Expectation–maximization algorithm,Mixture model,0
436,Boosting (machine learning),Bootstrap aggregating,0
437,Joint probability distribution,Multiclass classification,0
440,Correlation and dependence,Principal component analysis,0
441,Artificial neural network,Genetic algorithm,0
443,Probability density function,Feedforward neural network,0
444,Principal component analysis,Decision tree learning,0
446,Statistical population,F1 score,0
447,Support vector machine,Active learning (machine learning),0
449,Expectation–maximization algorithm,Cluster analysis,0
450,Bayes' theorem,Bayesian network,0
454,Machine learning,Boosting (machine learning),0
455,Expectation–maximization algorithm,Fuzzy clustering,0
456,Biclustering,Hierarchical clustering,0
457,Machine learning,Feedforward neural network,0
462,Data analysis,K-medoids,0
464,Arithmetic mean,Poisson regression,0
465,Conditional probability,Mixture model,0
467,Probability density function,Likelihood function,0
468,Standard deviation,DBSCAN,0
469,Precision and recall,Arithmetic mean,0
470,Standard deviation,Data mining,0
472,Conditional probability distribution,Bayesian network,0
474,Mode (statistics),Level of measurement,0
475,Confidence interval,F1 score,0
476,Standard deviation,Naive Bayes classifier,0
478,Likelihood function,Bayesian network,0
481,Backpropagation,Gradient descent,0
482,Machine learning,Decision tree learning,0
485,Data matrix (multivariate statistics),Linear regression,0
487,Conditional probability,Expectation–maximization algorithm,0
488,Cluster analysis,Confusion matrix,0
490,Cluster analysis,K-means clustering,0
492,Arithmetic mean,Mixture model,0
494,Standard deviation,Confidence interval,0
495,Arithmetic mean,Regression analysis,0
496,OPTICS algorithm,Hierarchical clustering,0
499,Statistical hypothesis testing,F1 score,0
503,Statistical classification,Regression analysis,0
505,Joint probability distribution,Decision tree learning,0
506,Conditional probability,Decision tree learning,0
511,Probability density function,Artificial neural network,0
512,Expectation–maximization algorithm,Missing data,0
513,Probability density function,Pruning (decision trees),0
514,Central tendency,Standard deviation,0
515,Standard deviation,Single-linkage clustering,0
516,Data analysis,DBSCAN,0
517,Decision tree learning,Data analysis,0
519,Naive Bayes classifier,Random forest,0
520,Conditional probability,Association rule learning,0
524,Descriptive statistics,Interquartile range,0
525,Statistical dispersion,Level of measurement,0
526,Arithmetic mean,Central tendency,0
528,Query language,Data modeling,0
529,Outlier,Anomaly detection,0
533,Conditional probability distribution,Poisson regression,0
534,Statistical classification,Support vector machine,0
535,DBSCAN,Data mining,0
536,Sample (statistics),Student's t-test,0
537,Data analysis,K-means clustering,0
538,Statistical classification,Decision tree model,0
539,Probability density function,Machine learning,0
541,Association rule learning,Apriori algorithm,0
542,Statistical significance,Conditional probability,0
543,Correlation and dependence,DBSCAN,0
547,Sample (statistics),Statistical significance,0
548,OPTICS algorithm,Data mining,0
549,OPTICS algorithm,DBSCAN,0
550,Mixture model,Outlier,0
551,Conditional probability,Data mining,0
552,Joint probability distribution,Conditional independence,0
555,Ensemble learning,Random forest,0
556,Machine learning,Artificial neural network,0
558,Arithmetic mean,Least squares,0
559,Joint probability distribution,Boosting (machine learning),0
562,Decision tree,Classification rule,0
564,DBSCAN,Hierarchical clustering,0
565,Support vector machine,Decision tree learning,0
566,Statistical dispersion,Interquartile range,0
568,Correlation and dependence,Biclustering,0
573,Posterior probability,Prior probability,0
575,Sample (statistics),Statistical hypothesis testing,0
578,Conditional independence,Naive Bayes classifier,0
579,Central tendency,Statistical dispersion,0
581,K-means clustering,Local optimum,0
584,Standard deviation,K-means clustering,0
585,Bayes' theorem,Sampling (statistics),0
586,Stepwise regression,Linear regression,0
587,Probability density function,Joint probability distribution,0
589,Conditional probability,Likelihood function,0
590,Probability density function,Conditional probability distribution,0
591,Genetic algorithm,Cluster analysis,0
592,Mixture model,K-means clustering,0
594,Probability density function,Multiclass classification,0
595,Biclustering,Model selection,0
596,Principal component analysis,Outlier,0
597,Dimensionality reduction,Principal component analysis,0
598,Stepwise regression,Statistical model,0
599,Correlation and dependence,Spectral clustering,0
600,Bayes' theorem,Naive Bayes classifier,0
602,Arithmetic mean,OPTICS algorithm,0
606,Mixture model,Histogram,0
613,Regression analysis,Poisson regression,0
614,Artificial neural network,Data processing,0
616,Statistical hypothesis testing,Precision and recall,0
617,Arithmetic mean,Single-linkage clustering,0
618,Posterior probability,Bayesian network,0
619,Artificial neural network,Regression analysis,0
621,Joint probability distribution,Linear regression,0
622,Probability density function,Conditional independence,0
624,Standard deviation,Spectral clustering,0
628,Anomaly detection,Support vector machine,0
629,Probability density function,AdaBoost,0
630,Accuracy and precision,False positives and false negatives,0
631,Correlation and dependence,Anomaly detection,0
632,Boosting (machine learning),Gradient descent,0
633,Confidence interval,Statistical hypothesis testing,0
634,Feedforward neural network,Linear separability,0
635,Null hypothesis,Statistical significance,0
636,Null hypothesis,Student's t-test,0
637,Decision tree,Random forest,0
638,Prior probability,Data analysis,0
640,Standard deviation,Mixture model,0
641,Bayesian network,Expert system,0
643,Poisson regression,Maximum likelihood,0
647,Boosting (machine learning),AdaBoost,0
648,Fitness function,Mutation (genetic algorithm),0
650,Null hypothesis,Data mining,0
651,Artificial neural network,Posterior probability,0
652,Bootstrap aggregating,Random forest,0
653,DBSCAN,Anomaly detection,0
654,Median,Central tendency,0
657,Cluster analysis,False positives and false negatives,0
660,Arithmetic mean,Correlation and dependence,0
661,Correlation and dependence,Outlier,0
662,Joint probability distribution,Artificial neural network,0
664,Hill climbing,Gradient descent,0
665,Cluster analysis,OPTICS algorithm,0
667,Standard deviation,Correlation and dependence,0
668,Statistical classification,Data analysis,0
669,OPTICS algorithm,Outlier,0
671,Cluster analysis,Clustering high-dimensional data,0
673,Probability density function,Boosting (machine learning),0
681,Regression analysis,Statistical significance,0
682,Joint probability distribution,AdaBoost,0
686,Pruning (decision trees),Cross-validation (statistics),0
688,Correlation and dependence,Cluster analysis,0
690,Decision tree learning,Random forest,0
692,Decision tree,Genetic algorithm,0
693,Statistical hypothesis testing,Student's t-test,0
695,Artificial neural network,Feedforward neural network,0
696,Expectation–maximization algorithm,Bayesian network,0
702,Machine learning,AdaBoost,0
703,Stepwise regression,Data mining,0
704,Regression analysis,Data mining,0
705,Arithmetic mean,Stepwise regression,0
707,Arithmetic mean,DBSCAN,0
709,Expert system,Machine learning,0
710,Arithmetic mean,Linear regression,0
711,Correlation and dependence,K-means clustering,0
716,Probability density function,Bayes' theorem,0
722,Arithmetic mean,Spectral clustering,0
723,Artificial neural network,Backpropagation,0
726,Maximum likelihood,Bayesian network,0
730,K-means clustering,Semi-supervised learning,0
733,Sample (statistics),F1 score,0
734,Anomaly detection,Data mining,0
736,Likelihood function,Statistical model,0
737,Statistical population,Type I and type II errors,0
743,K-means clustering,Spectral clustering,0
744,Confidence interval,Sensitivity and specificity,0
746,Central tendency,Interquartile range,0
748,Data analysis,Single-linkage clustering,0
752,Mixture model,Statistical population,0
755,Probability density function,Median,0
756,Mixture model,Data mining,0
757,Conditional independence,Joint probability distribution,0
761,Standard deviation,Anomaly detection,0
765,Confidence interval,Type I and type II errors,0
766,K-means clustering,Median,0
767,Backpropagation,Nonlinear system,0
771,Anomaly detection,Ensemble learning,0
773,Cluster analysis,Spectral clustering,0
776,Machine learning,Multiclass classification,0
777,Probability density function,Poisson regression,0
778,Joint probability distribution,Bayesian network,0
782,Machine learning,K-means clustering,0
783,Alpha–beta pruning,Pruning (decision trees),0
784,Joint probability distribution,Naive Bayes classifier,0
786,Null hypothesis,Statistical hypothesis testing,0
787,Statistical classification,Backpropagation,0
788,Statistical significance,Data analysis,0
789,Confidence interval,Maximum likelihood,0
790,Principal component analysis,Data reduction,0
791,Likelihood function,Regression analysis,0
792,Support vector machine,Classification rule,0
795,Confidence interval,Precision and recall,0
796,Likelihood function,Prior probability,0
799,Ensemble learning,Boosting (machine learning),0
800,Statistical classification,Random forest,0
806,Precision and recall,F1 score,0
808,Data mining,Decision tree,0
809,Decision tree,AdaBoost,0
810,Mixture model,Bayes' theorem,0
813,Median,Interquartile range,0
814,Random forest,Mode (statistics),0
815,Conditional probability,Decision tree,0
816,Information retrieval,Precision and recall,0
817,Standard deviation,Biclustering,0
818,Standard deviation,K-medoids,0
819,Decision tree learning,Artificial neural network,0
821,Standard deviation,Statistical hypothesis testing,0
822,Accuracy and precision,Gain (information retrieval),0
823,Correlation and dependence,K-medoids,0
824,Machine learning,Random forest,0
825,Arithmetic mean,Data mining,0
